ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,,,,,,,
1,,damages all enemies and clears all bullets,schadet feinde und klärt geschosse auf,dégâts à tous les ennemis#et supprime toutes les balles,daña a todos los enemigos#y destruye todas las balas,causa dano a todos os inimigos e elimina todas as balas,damages all enemies and clears all bullets,敵全員にダメージを与え、すべての弾丸を消す
2,,become immune to harm for 8 seconds,immun gegen#jede art von schaden#für ein paar sekunden,immunité aux dégâts pendant 8 secondes,otorga inmunidad al daño durante 8 segundos,fica imune a danos por 8 segundos,become immune to harm for 8 seconds,8秒間、無敵状態になる
3,,generate a burst of swarmers,erschafft freundliche schwarmer,génère un essaim de bourdrones,genera una ráfaga de zánganos,gera uma explosão de enxamers,generate a burst of swarmers,スウォーマーの群れを生成
4,,rerolls weapon keywords,ändert schlüsselworte auf waffen,régénère des mots-clés d'arme,actualiza las palabras clave de las armas,atualiza as palavras-chave da arma,rerolls weapon keywords,武器のキーワードを変える
5,,uncovers new rooms,enthüllt neue räume,révèle de nouvelles salles,revela salas nuevas,revela novas salas,uncovers new rooms,新しい部屋を見つける
6,,generates a crate,erschafft ein kasten,génère une caisse,genera una caja,gera uma caixa,generates a crate,箱を生成
7,,fires a gigalaser,feuert ein gigalaser,tire un gigalaser,dispara un gigaláser,dispara um gigalaser,fires a gigalaser,強力なレーザーを発射
8,,generates a shield,hüllt dich in einen schild,génère un bouclier,genera un escudo,gera um escudo,generates a shield,シールドを生成
9,,restore 1 hp,stellt 1 hp wieder her,restaure 1 pv,restaura 1 ps,restaura 1 de pv,restore 1 hp,HPを1回復
10,,a massive wave of explosions#costs 1 hp part to use,massive explosionswelle#kostet 1 hp teil,une énorme vague d'explosions#coûte 1 fragment de pv,provoca una gran oleada de explosiones#consume 1 porción de ps,uma enorme onda de explosões#custa 1 de pv para usar,a massive wave of explosions#costs 1 hp part to use,大爆発が押し寄せる#使用時HPを1消費
11,,"spawn a damage up,#chance to break on use",erlange mehr schaden#kann beim benutzen brechen,"octroie un bonus de dégâts,#chance de se briser à l'utilisation",otorga un aumento de daño#probabilidad de romperse con el uso,"gerar um aumento de dano,#chance de quebrar ao usar","spawn a damage up,#chance to break on use",ダメージアップが出現#一定確率で使用時に壊れる
12,,"a burst of homing, phasing railgun shots",feuert zielsuchende strahlen ab,une rafale de rayons guidés de railgun,una ráfaga de rayos guiados de cañón de riel,uma explosão de tiros guiados de canhão de raios,"a burst of homing, phasing railgun shots",追尾型レールガンをバースト発射
