ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,,,,,,,
1,,excavation,ausgrabung,excavation,yacimiento,escavação,раскопки,遺跡
2,,archives,archive,archives,archivos,arquivos,архивы,資料庫
3,,maintenance system,kanalisation,canalisations,alcantarillado,sistema de manutenção,система обслуживания,保守水路
4,,bellows,schmieden,forge,fuelles,forja,кузница,燃焼室
5,,sanctum,sanktum,sanctuaire,santuario,santuário,святилище,聖域
6,,,,,,,,
7,,,,,,,,
8,,the temple,der tempel,le temple,el templo,o templo,храм,寺院
9,,nowhere,nirgends,nulle part,la nada,lugar inexistente,нигде,どこでもない場所
10,,,,,,,,
