ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
3,,a lingering snapshot of somebody's past.,ein verbliebendes abbild von jemanden vergangenheit.,une image qui évoque le passé de quelqu'un.,una instantánea espectral del pasado de alguien.,uma imagem remanescente do passado de alguém.,смутный отпечаток чьего-то прошлого.,誰かの過去の、未練のかけら。
4,,"after a series of costly mishaps the experimental core units have been either loosed on the resistance, or stowed somewhere they would do no harm.","nach vielen teuren missgeschicken wurden die übrigen kerneinheiten entweder auf die resistänz losgelassen, oder in plätzen verstaut, wo sie kein schaden anrichten könnten.","après une série d'incidents, les unités principales d'expérimentation ont été lâchées sur la résistance ou rangées là où elles ne feraient aucun mal.","tras una serie de costosos percances, las unidades de núcleo experimentales se emplearon contra la resistencia o se almacenaron en lugares en los que resultasen inofensivos.","depois de uma série de acidentes onerosos, as unidades centrais experimentais foram soltas na resistência ou armazenadas em algum lugar onde não pudessem causar danos.","после череды дорогостоящих инцидентов#экспериментальные ядра были либо выпущены против#сопротивления, либо спрятаны там, где не могли#причинить вреда.",一連の災難に見舞われた後、実験用コアユニットはレジスタンスの手に渡ったか、彼らの手の届かない場所に放置された。
11,,creatures of the void are not necessarily malicious. many just yearn for a kind of stability their realm rarely provides.,die kreaturen aus der leere sind nicht unbedingt böswillig. sie sehnen sich nach der stabilität die wir täglich genießen.,les créatures du néant ne sont pas forcément malveillantes. beaucoup veulent une stabilité qui est rare dans leur royaume.,las criaturas del vacío no son necesariamente malvadas. muchas de ellas tan solo ansían una estabilidad que su reino rara vez les ofrece.,criaturas do vazio não são malignas por regra. muitas estão apenas em busca de um tipo de estabilidade praticamente inexistente em seu reino.,"существа пустоты не обязательно злобны. многие#просто жаждут стабильности, которую их мир редко#даёт.",虚無の住人達に悪意は無く、ただその故郷では#得られない安定を切望しているだけなのだ。
14,,former inhabitants of the facility didn't take kindly to intrusion.,die einwohner der einrichtung waren von dem eindrang nicht begeistert.,les anciens habitants du lieu n'ont pas apprécié l'intrusion.,a los antiguos habitantes de las instalaciones no les hacían ninguna gracia las intrusiones.,os antigos habitantes da instalação não aceitaram a intrusão.,бывшие обитатели объекта не жаловали незваных#гостей.,施設の原住民は侵入を良く思わなかった。
69,,"contrary to popular belief, it is not necessary to refrigerate ghosts to keep them fresh.","anders als man denkt, halten gefrorene geister nicht länger.","contrairement aux idées reçues, il n'est pas nécessaire de réfrigérer les fantômes pour qu'ils restent frais.","al contrario de lo que se cree, no hace falta refrigerar a los fantasmas para mantenerlos frescos.","ao contrário do que se imaginava, não é necessário refrigerar fantasmas para que que durem mais.","вопреки расхожему мнению, призраков не нужно#охлаждать, чтобы сохранить свежесть.",一般的な概念と異なり、ゴーストは冷凍しなくても鮮度は落ちない。
43,,a soul exposed to power eternal is never the same again.##something is lost forever.,eine seele die der ewigen macht bloßgestellt wird ist nie wieder die selbe.##etwas geht für immer verloren.,une âme exposée au pouvoir éternel est transformée.##quelque chose est perdu à jamais.,las almas expuestas al poder eterno jamás vuelven a ser las mismas.##algo en ellas se pierde para siempre.,uma alma exposta ao poder eterno nunca mais será a mesma.##algo é perdido para sempre.,"душа, соприкоснувшаяся с вечной силой, уже никогда#не будет прежней.##что-то теряется навсегда.",永遠の力に触れた魂はもう元には戻らない。##その魂に宿る何かが永遠に失われるからだ。
6,,tired of solitude in unlife?##feel like you lost all sense of identity?##join the ring today!,der einsamkeit im nachleben müde?#fühlt sich an als ob die eigene identität verloren geht?#tretet heute schon dem ring bei!,la solitude dans la non-vie te lasse ?##tu as l'impression d'avoir perdu ton identité ?##rejoins le cercle !,¿odias la soledad del más allá?##¿has perdido la conexión con tu ser?##¡pues únete al anillo!,cansou da solidão na não-vida?##está sentindo que perdeu todo e qualquer senso de identidade?##venha fazer parte do círculo hoje mesmo!,"устал от одиночества в посмертии?##чувствуешь, что потерял себя?##вступай в кольцо сегодня!",孤独な死後にうんざり？##アイデンティティの喪失を感じる？##リングに参加してみよう！
70,,"desperate to preserve their memories, some ghosts approach absolute zero.","in verzweiflung, nähern einige geister sich dem absoluten nullpunkt an, um ihre erinerrungen zu bewahren.","mourant d'envie de préserver leurs souvenirs, certains fantômes approchent le zéro absolu.","desesperados por conservar sus recuerdos, algunos fantasmas se aproximan al cero absoluto.","desesperados para preservar suas memórias, alguns fantasmas se aproximam do zero absoluto.",в отчаянии сохранить воспоминания некоторые#призраки приближаются к абсолютному нулю.,自暴自棄になって、記憶を維持するために#絶対零度に近づくゴーストもいる。
126,,"ultimately, the soul is simply fuel. ##the essence of the past, burned to make future.","letztendlich ist die seele nur treibstoff.##essenz der vergangenheit, verbrannt um die zukunft zu schaffen.","en fin de compte, l'âme n'est que carburant.##l'essence du passé, brûlée pour créer le futur.","en última instancia, el alma no es más que combustible.##la esencia del pasado se consume para engendrar el futuro.","afinal de contas, a alma nada mais é que combustível. ##a essência do passado, que é queimada e consumida para criar o futuro.","в конечном счёте душа — просто топливо.##сущность прошлого, сожжённая ради будущего.",結局のところ、魂は燃料にすぎない。##過去のエッセンスとして、未来を創るために#くべられる薪なのだ。
40,,"we've got some new management, boys. ##it's the ghosts, then you, then me, then the cat now.","jungs, wir sind jetzt unter einer neuer leitung.##jetzt sind's geister, dann ihr, dann ich und dann der kater.","les gars, la direction a changé.##c'est les fantômes, toi, puis moi et maintenant, le chat.","chicos, tenemos nueva dirección.##primero los fantasmas, luego tú, después yo y, ahora, el gato.","temos uma nova administração, pessoal. ##agora nos estruturamos assim: os fantasmas, depois vocês, depois eu, depois o gato.","у нас новое руководство, ребята.##сначала призраки, потом вы, потом я, теперь ещё и#кот.",新しい体制を発表する。##ゴーストとお前と俺、それから猫だ。
124,,"i mean, where do you store your souls?","ich meine, wo verwahrst du deine seelen?","mais, où stockes-tu tes âmes ?",¿acaso tú guardas las almas en otra parte?,"quero dizer, onde você guarda suas almas?",ну и где ты хранишь свои души?,それで、君の魂はどこに入ってるの？
120,,i'm anxious to serve beyond death.,ich bin gespannt auf mein dienst nach dem tod.,j'ai hâte de servir après l'au-delà.,me muero de ganas de servir en la otra vida.,não vejo a hora de servir além da morte.,жажду служить даже после смерти.,死を越えて、更なる従事を欲す。
5,,built to last eons!,gebaut um äonen lang zu halten!,construit pour durer des piges !,¡fabricado para durar eones!,construído para durar uma eternidade!,создан на века!,永劫に耐えられる設計！
42,,an excessive solution to all worldly problems!,löst alle weltlichen probleme im exzess!,une solution excessive à tous les problèmes du monde !,¡una solución demasiado drástica para los problemas terrenales!,uma solução exagerada para todos os problemas do mundo!,избыточное решение всех мирских проблем!,この世のどんな問題も、これ1つで丸ごと解決！
135,,the service never ends.,der dienst endet nie.,le service ne finit jamais.,jamás se deja de prestar servicio.,o serviço nunca termina.,служба не заканчивается.,就役期間は無期限。
48,,it's great to be your own personal assistant and bodyguard!,es ist toll dein eigener assistänt und leibschütze zu sein!,c'est génial d'être son propre assistant et garde du corps !,¡es genial ser tu propio ayudante y guardaespaldas!,é ótimo ser seu próprio assistente pessoal e guarda-costas!,здорово быть твоим личным ассистентом и#телохранителем!,アンタのアシスタント兼ボディーガードになれて光栄だ！
80,,hothead.,hitzkopf.,tête brûlée,enardecido.,cabeça quente.,горячая голова.,熱い漢。
112,,some skullies have delved too deep.,einige skullies haben zu tief gegraben.,certains skullys sont allés trop loin.,algunos cráneos han profundizado demasiado.,alguns skullys foram fundo demais.,некоторые скалли зашли слишком глубоко.,スカルの中には、深入りし過ぎた者もいる。
17,,your lot in life could always be just that little bit worse.,dein platz im leben könnte immer ein kleines bisschen schlechter sein.,ta vie pourrait toujours être pire.,"en la vida, la suerte siempre puede ir a peor.",sua condição na vida sempre pode ser um pouco pior.,твоя участь в жизни всегда могла быть чуть хуже.,小さな綻びが人生の落とし穴になることもある。
26,,i have faint memories of someone else. but just barely.,"ich habe blasse erinerrungen an jemandem anders, aber nur kaum.","j'ai des souvenirs flous de quelqu'un d'autre, mais c'est vague.","tengo vagos recuerdos de otra persona, pero se me están olvidando.",tenho vagas lembranças de outra pessoa. mas é algo quase nulo.,у меня есть смутные воспоминания о ком-то другом.#но едва уловимые.,僕にはだれかの記憶が、少しだけあるんだ。
114,,probably the angriest ball of metal in the whole facility.,wahrscheinlich der wütendste metallball in der ganzen einrichtung.,sûrement la boule de métal la plus irritée de cet endroit.,"posiblemente, la bola metálica con más mala uva de las instalaciones.",provavelmente a bola de metal mais furiosa de toda a instalação.,"пожалуй, самый злобный металлический шар во всём#объекте.",たぶん施設中で一番怒りっぽい金属球。
7,,this is the most boring existence imaginable. i hope a target practice comes by soon.,das ist die langweiligste mögliche existenz. ich hoffe zielübung kommt bald bei.,on ne peut pas imaginer existence plus ennuyeuse. j'espère qu'une cible viendra bientôt.,"qué existencia más aburrida, espero que falte poco para las prácticas de tiro.",esta é a existência mais chata que se possa imaginar. espero que logo aconteça um treino de tiro ao alvo.,"скучнейшее существование из возможных. надеюсь,#скоро появится мишень для тренировки.",なんて退屈なんだ。射撃訓練の時間はまだか。
