ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,no contact damage,kein kontaktschaden,dégâts sans contact,no inflige daño por contacto,não causa dano de contato,no contact damage,接触ダメージなし
1,,capable of teleportation,kann teleportieren,capable de se téléporter,capacidad de teletransporte,é capaz de se teletransportar,capable of teleportation,テレポート可能
2,,can inflict double damage,kann doppelten schaden zufügen,peut infliger le double de dégâts,puede infligir daño doble,pode causar dano duplo,can inflict double damage,2倍のダメージを与える
3,,retaliates on death,greift zurück am tod,riposte à sa mort,se venga al morir,inflige retaliação ao morrer,retaliates on death,死亡時に反撃
4,,spawns other enemies on death,hinterlässt mehr feinde beim tod,génère d'autres ennemis à sa mort,genera a otros enemigos al morir,gera outros inimigos ao morrer,spawns other enemies on death,死亡時に他の敵が出現
5,,can spawn other enemies,kann mehr feinde erschaffen,peut générer d'autres ennemis,puede generar a otros enemigos,pode gerar outros inimigos,can spawn other enemies,他の敵を出現させる
6,,can inflict lightning damage,kann blitzschaden verursachen,peut infliger des dégâts de foudre,puede infligir daño doble,pode causar dano de raio,can inflict lightning damage,電流で攻撃
7,,can inflict a slowing freeze,kann durch frost verlangsamen,peut infliger un gel ralentissant,puede aplicar una congelación ralentizadora,pode causar um congelamento lento,can inflict a slowing freeze,動きを鈍らせる凍結で攻撃
8,,"uses fire attacks, which fizzle out in water",benutzt durch wasser löschbare feuerangriffe,utilise des attaques de feu qui s'éteignent dans l'eau,usa ataques de fuego que se apagan con agua,"usa ataques de fogo, que desaparecem na água","uses fire attacks, which fizzle out in water",水に触れると消える炎で攻撃
9,,utilizes an area of effect,besitzt ein wirkungsbereich,utilise un effet avec dégâts de zone,usa un área de efecto,utiliza uma área de efeito,utilizes an area of effect,範囲攻撃を使用
10,,uses attacks that glance off of walls,benutzt von wänden abprallende angriffe,utilise des attaques qui ricochent sur les murs,usa ataques que rebotan en las paredes,usa ataques que ricocheteiam nas paredes,uses attacks that glance off of walls,壁で反射する攻撃を使用
11,,uses attacks that may ignore cover,benutzt angriffe die deckung ignorieren,utilise des attaques qui peuvent ignorer les abris,usa ataques capaces de ignorar las coberturas,usa ataques que podem ignorar a cobertura,uses attacks that may ignore cover,遮蔽物を無視する攻撃を使用
12,,uses attacks that can be destroyed in flight,angriffe können in der lüft zerstört werden,utilise des attaques destructibles en vol,usa ataques destructibles,dispara projéteis destrutíveis antes de atingir o alvo ,uses attacks that can be destroyed in flight,破壊可能弾で攻撃
13,,causes explosions,verursacht explosionen,cause des explosions,provoca explosiones,causa explosões,causes explosions,爆発する
14,,can become invulnerable,kann unverwundbar werden,peut devenir invulnérable,puede volverse invulnerable,pode se tornar invulnerável,can become invulnerable,無敵化する
15,,it's a mystery,es ist ein geheimnis,c'est un mystère,es un misterio,é um mistério,it's a mystery,それは謎だ
16,,fire...,feuer...,le feu...,fuego...,fogo...,fire...,炎だ…
