ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,bomb,bombe,bombe,bomba,bomba,bomb,ボム
1,,laser bomb,laserbombe,bombe laser,bomba láser,bomba de laser,laser bomb,レーザーボム
2,,deep freeze bomb,frierbombe,bombe glaciale,bomba congelante,bomba de congelamento,deep freeze bomb,フリーズボム
3,,time bomb,zeitbombe,bombe temporelle,bomba de tiempo,bomba-relógio,time bomb,タイムボム
4,,fire bomb,feuerbombe,bombe de feu,bomba ígnea,bomba de fogo,fire bomb,ファイアボム
5,,swarm bomb,schwarmbombe,bombe essaim,bomba enjambre,bomba de enxame,swarm bomb,スウォームボム
6,,excavation bomb,schaufelbombe,bombe d'excavation,bomba excavadora,bomba de escavação,excavation bomb,発破ボム
7,,gold bomb,goldbombe,bombe d'or,bomba de oro,bomba de ouro,gold bomb,ゴールドボム
8,,mirror bomb,spiegelbombe,bombe miroir,bomba reflectora,bomba refletora,mirror bomb,ミラーボム
9,,energy bomb,energiebombe,bombe d'énergie,bomba de energía,bomba de energia,energy bomb,エネルギーボム
10,,shattering bomb,abrissbombe,bombe de démolition,bomba demoledora,bomba demolidora,shattering bomb,粉砕ボム
