ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,discover rooms in a 3x3 radius,entdecke räume im 3x3 radius,révèle des salles dans un rayon de 3x3,revela las salas en un radio de 3 x 3,revela salas em um raio de 3x3,discover rooms in a 3x3 radius,3x3範囲の部屋をマップに表示
1,,bomb damage+,bombenschaden+,augmente les dégâts de bombe,bombas más dañinas,aumenta o dano de bomba,bomb damage+,ボムダメージ上昇
2,,double special bomb gain,erhalte zweimal so viele spezialbomben,double les bombes spéciales,doble de bombas especiales,ganho em dobro de bomba especial,double special bomb gain,特殊ボムの獲得数が2倍
3,,clear bullets on room end,feindschusse beim raumklären gelöscht,efface les balles en finissant la salle,destruye las balas al finalizar la sala,elimina balas ao concluir a sala,clear bullets on room end,部屋クリア時に敵弾を消す
4,,attracts shopkeepers,zieht shopkeeper an,attire les marchands,atrae a los tenderos,atrai lojistas,attracts shopkeepers,店員を引きつける
5,,"smaller floors, more items","kleinere levels, mehr gegenstände","étages plus petits, plus d'objets","pisos más pequeños, pero con más objetos","andares menores, mas com mais itens","smaller floors, more items",フロアが狭くなり、アイテムが増加
6,,hats for all!,hüte für alle!,des chapeaux pour tous !,¡sombreros para todos!,chapéus para todos!,hats for all!,みんなに帽子を！
7,,invincible for 5 seconds after a shield breaks,"wenn ein schild bricht,#unverwundbar für 5 sekunden",invincible pendant 5 secondes#quand un bouclier se casse,invencible durante 5 s tras#romperse el escudo,fica invencível por 5 segundos#após a quebra de um escudo,invincible for 5 seconds after a shield breaks,シールドが壊れると5秒間無敵状態になる
8,,better dice rolls,mehr glück beim würfelrollen,meilleurs lancers de dés,mejores tiradas de dados,mais sorte ao lançar dados,better dice rolls,サイコロ運が良くなる
9,,reduced multiplier loss,reduzierter multiplierverlust,réduit la perte de multiplicateurs,el multiplicador se reduce más lentamente,o multiplicador reduz mais lentamente,reduced multiplier loss,倍率の減少を軽減
10,,lowered dash cooldown,gesenkter tauchcooldown,accélère la recharge de propulsion,menos tiempo de recarga de los impulsos,tempo de recarga de aceleração reduzido,lowered dash cooldown,ダッシュのクールダウン短縮
11,,no contact damage,kein konktaktschaden,dégâts sans contact,inmunidad al daño por contacto,não causa dano de contato,no contact damage,接触ダメージ無効
12,,"spawn swarmers when hit, doubled swarmer damage",doppelter schwärmer schaden,"génère des bourdrones à l'impact,#dégâts de bourdrones doublés","al sufrir daño, sueltas zánganos#y su daño se duplica","gera enxamers quando atingido, e dobra o dano de enxamer","spawn swarmers when hit, doubled swarmer damage",被弾時にスウォーマーを生成し、#スウォーマーのダメージが2倍になる
13,,electrostatic aura,elektrische aura,aura électrostatique,aura electrostática,aura eletrostática,electrostatic aura,電撃のオーラ
14,,dramatic entrance,dramatischer eintritt,entrée théâtrale,entrada triunfal,entrada triunfante,dramatic entrance,ド派手に入場
15,,increased damage to bosses,extra schaden an bosse,augmente les dégâts sur les boss,más daño contra jefes,aumento de dano causado aos chefes,increased damage to bosses,ボスに与えるダメージが上昇
16,,shops contain an extra item,extra ladeninventar,article bonus dans les magasins,las tiendas ofrecen un artículo adicional,as lojas ganham um item extra,shops contain an extra item,ショップにアイテムが追加
17,,finds secrets,findet geheimnisse,trouve les secrets,encuentra secretos,encontra segredos,finds secrets,隠し部屋を見つける
18,,bombs open doors,bomben öffnen türe,les bombes ouvrent les portes,las bombas abren puertas,bombas abrem portas,bombs open doors,ボムでドアを開ける
19,,detects its kin,findet seinsesgleiche,détecte ses semblables,detecta a sus iguales,detecta seus pares,detects its kin,眷属を探す
20,,better troves,mehr waffen,meilleur arsenal,mejores arsenales,arsenais melhores,better troves,武器庫を強化
21,,???,???,???,???,???,???,???
22,,bombs recharge faster,bomben laden schneller nach,les bombes se rechargent plus vite,las bombas se restablecen más rápido,bombas recarregam mais rápido,bombs recharge faster,ボムが早く溜まる
23,,"more curses, curses break faster","mehr flüche, flüche brechen schneller","plus de sorts, sorts brisés plus vite","más maldiciones, pero se rompen más rápido","mais maldições, mas elas quebram mais rápido","more curses, curses break faster",呪いが増えるが、より早く消滅する
24,,crates cost less to open,kisten kosten wenniger,réduit le coût d'ouverture des caisses,abarata el coste de abrir cajas,reduz o custo da abertura de caixas,crates cost less to open,箱を開けるために必要なコストが下がる
