ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,iron magus,eisenmagier,mage de fer,mago férreo,mago férreo,iron magus,アイアンメイガス
1,,omniscient,allweiser,omniscient,omnisciente,onisciente,omniscient,すべてを知るもの
2,,phoenix,phönix,phénix,fénix,fênix,phoenix,フェニックス
3,,late knight,spätritter,chevalier défunt,yelmo negro,cavaleiro tardio,late knight,亡騎士
4,,abyssal,der abgrund,l'abîme,el abisal,abissal,abyssal,深淵
5,,thaumaturge,thamuaturg,thaumaturge,taumaturgo,taumaturgo,thaumaturge,サーマタージ
6,,point zero,nullpunkt,point zéro,punto cero,ponto zero,point zero,ポイント・ゼロ
7,,leviathan,leviathan,léviathan,leviatán,leviatã,leviathan,リヴァイアサン
8,,the radiant,strahlender,le radiant,el radiante,o radiante,the radiant,レイディアント
9,,hekaton,hekaton,hekaton,hekaton,hekaton,hekaton,ヘカトン
10,,waterwheel,wasserrad,roue à eau,noria,roda d'água,waterwheel,水車
21,???,gunship,schiff,croiseur,nave caza,nave de caça,gunship,ガンシップ
