ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,unfortunate accident,trauriger unglücksfall,accident malheureux,desgraciado accidente,acidente infeliz,unfortunate accident,不運な事故
1,,crushed by scenery,zerquetscht,écrasé par le décor,aplastamiento,esmagado por blocos,crushed by scenery,ブロックとの衝突 
3,,ghost,geist,fantôme,fantasma,fantasma,ghost,ゴースト
4,,microcore,mikrokern,microcœur,micronúcleo,micronúcleo,microcore,マイクロコア
5,,sentinel,sentinel,sentinelle,centinela,sentinela,sentinel,センティネル
6,,giant ghost,riesengeist,fantôme géant,fantasma gigante,fantasma gigante,giant ghost,巨大ゴースト
7,,turret,turret,tourelle,torreta,torre,turret,タレット
8,,spikes,stacheln,pointes,pinchos,espinhos,spikes,トゲ
9,,electricity,elektrizität,électricité,electricidad,eletricidade,electricity,電流
10,,a horrible curse,ein fluch,un sort horrible,maldición terrible,uma maldição terrível,a horrible curse,恐ろしい呪い
11,,trespasser,einbrecher,intrus,intrusión,invasor,trespasser,侵入者
14,,crazy ghost,irrgeist,fantôme fou,fantasma enajenado,fantasma maluco,crazy ghost,クレイジーゴースト
15,,seeker,sucher,chercheur,buscador,buscador,seeker,シーカー
16,,swarmer,schwarmer,bourdrone,zángano,enxamer,swarmer,スウォーマー
17,,blastcore,kraftkern,explocœur,núcleo explosivo,núcleo explosivo,blastcore,ブラストコア
18,,chamberhead,kammerhaupt,chambrier,armatesta,cararmada,chamberhead,チェンバーヘッド
19,,malice engine,teufelsmaschine,engin de malice,motor de malicia,máquina maliciosa,malice engine,マリス・エンジン
20,,swarm host,schwarmhost,hôte d'essaim,huésped de enjambre,hospedeiro de enxame,swarm host,スウォームホスト
21,,electromancer,elektromancer,électromancien,electromante,eletromante,electromancer,エレクトロマンサー
23,,fire,feuer,feu,fuego,fogo,fire,炎
24,,quadcore,quadcore,quadcore,quadcore,quadcore,quadcore,クアドコア
25,,peaspitter,bohnenspucker,sarbacane,cerbatana,cuspidor de grãos,peaspitter,ピースピッター
