ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,...?,...?,hein ?,¿eh?,...?,...?,…?
0,,how'd you even?,"uh, wie überhaupt?",comment ?,¿cómo lo has hecho siquiera?,como assim?,как вообще?,どうしてそれを？
0,,you should not be reading this.,du solltest das hier nicht lesen können.,tu ne devrais pas lire ceci.,no deberías estar leyendo esto.,você não deveria estar lendo isso.,ты не должен это читать.,絶対読むんじゃないぞ。
,,,,,,,,
1,,you got /c1squashed/c0?,du wurdest /c1zerquetscht/c0?,tu t'es fait /c1écraser/c0 ?,¿te han /c1machacado/c0?,você foi /c1esmagado/c0?,тебя /c1раздавило/c0?,/c1潰された/c0のか？
1,,what a terrible way to go.,wie grausam.,quelle terrible façon de mourir.,qué final más espantoso.,que jeito terrível de morrer.,жуткая смерть.,そりゃ災難だったな。
1,,"most walls are not deadly to the touch, skid along and you should be fine.","die meisten wände beißen aber nicht, kannst ruhig auf denen gleiten.","la plupart des murs sont mortels au contact, glisse tout le long et ça ira.","la mayoría de los muros son inofensivos, puedes rozarlos sin problema.","muitas paredes não reagem ao toque. use-as para deslizar, você ficará ileso. ","большинство стен не убивают при касании — скользи вдоль них, и всё будет нормально.",ほとんどの壁は触ってもダメージを受けない。#すり抜ければ大丈夫だ。
,,,,,,,,
3,,/c1ghosts/c0?,/c1geister/c0?,des /c1fantômes/c0 ?,¿/c1fantasmas/c0?,/c1fantasmas/c0?,/c1призраки/c0?,/c1ゴースト/c0か？
3,,they're everywhere.,sind hier überall.,ils sont partout.,están por todas partes.,eles estão por toda parte.,они везде.,連中はどこにでもいる。
3,,"mostly a nuisance, but they tend to aggregate around larger specters.","gehen meistens einem nur auf die nerven, treiben aber um größere spuken herum.","ils sont relous, mais ont tendance à se grouper autour des gros spectres.","son bastante molestos, pero suelen agruparse alrededor de espectros más grandes.","geralmente só incomodam, mas tendem a se agrupar em torno de espectros maiores.","в основном просто мешают, но собираются вокруг крупных призраков.",厄介だが、自分より大きなゴーストの周りに集まる傾向がある。
3,,weave around them and you should be fine.,gehe denen einfach aus den weg und alles sollte glatt laufen.,slalome autour et ça devrait aller.,sortéalos con agilidad y no deberías tener problemas.,contorne-os rapidamente e você não deverá ter problemas.,уворачивайся от них — и всё будет нормально.,彼らを避けるように動き回れば大丈夫だ。
,,,,,,,,
4,,...,...,...,...,...,...,…
4,,"what did you expect would happen, turning /c2that thing/c0 on?",ich weiss nicht was du von /c2diesem ding/c0 erwartet hast?,tu croyais qu'il se passerait quoi en allumant /c2ce truc/c0 ?,¿qué esperabas que fuese a ocurrir al activar /c2esa cosa/c0?,o que você esperava que acontecesse quando ativou /c2aquela coisa/c0?,"а чего ты ожидал, включая /c2эту штуку/c0?",/c2あれ/c0を起動したら、どうなると思ったんだ？
,,,,,,,,
5,,"/c1sentinels/c0 are slow, lightly armed and /s1relentless./s0","/c1'sentinele'/c0 sind langsam, leicht bewaffnet und /s1komplett unaufhaltsam./s0","les /c1sentinelles/c0 sont lentes, peu armées et /s1implacables./s0",los /c1centinelas/c0 son lentos pero /s1implacables/s0 y van ligeramente armados.,"/c1sentinelas/c0 são lentos, levemente armados e /s1incansáveis./s0","/c1стражи/c0 медленные, слабо вооружённые и /s1неумолимые./s0",/c1センティネル/c0は遅くて火力は低いが、/s1冷酷だ。/s0
5,,just keep your distance.,halte deine distanz.,garde tes distances.,tan solo debes guardas las distancias.,apenas mantenha distância.,просто держись подальше.,なるべく近づかないことだ。
,,,,,,,,
6,,"ran into a /c1big ghost/c0, did you?",bist in einen /c1riesengeist/c0 reingelaufen?,"tu as rencontré un /c1gros fantôme/c0, c'est ça ?","te has topado con un /c1fantasma grande/c0, ¿verdad?","encontrou um /c1fantasma grande/c0, não foi?",нарвался на /c1большого призрака/c0?,/c1巨大ゴースト/c0に出くわしたようだね？
6,,"despite their size, they're relatively harmless on their own.","die mögen zwar groß sein, sind aber eher harmlos.","malgré leur taille, ils sont assez inoffensifs tout seuls.","a pesar de su tamaño, por sí solos, son relativamente inofensivos.","apesar do tamanho, eles são relativamente inofensivos.","несмотря на размер, в одиночку они относительно безобидны.",大きくても、単独だったら比較的無害だ。
6,,"i mean,/p4 as far as demented apparitions go.","ich meine,/p4 insofern blutrünstige geister harmlos sein können.","enfin,/p4 pour des apparitions folles.","bueno,/p4 al menos en lo que se refiere a las apariciones dementes.","bem,/p4 pelo menos comparados às aparições insanas.","ну,/p4 по меркам безумных призраков.",まぁ、/p4クレイジーゴーストなら話は別だが。
,,,,,,,,
7,,remember.,vergiss nicht.,n'oublie pas.,recuerda:,lembre-se.,запомни.,いいか、覚えておけ…
7,,"a /c1turret/c0 that can't see you, can't fire at you.","eine /c1turret/c0 die dich nicht sehen kann, kann auf dich auch nicht feuern.",une /c1tourelle/c0 qui ne te voie pas ne peut pas te tirer dessus.,"las /c1torretas/c0 que no pueden verte, tampoco pueden dispararte.","se uma /c1torre/c0 não puder ver você, ela também não poderá atirar em você.","/c1турель/c0, которая тебя не видит, не может в тебя стрелять.",/c1タレット/c0は視界に入らない限り、撃ってこない。
7,,moving around won't hurt either.,ein bewegliches ziel zu sein schadet auch nicht.,bouger ne fait pas de mal non plus.,y moverte un poco tampoco te vendrá mal.,um pouco de movimento também não fará mal.,постоянное движение тоже не помешает.,動き回って避けても、どうということはない。
,,,,,,,,
8,,"ugh, /c1spikes/c0.","ugh, /c1stacheln/c0.","argh, des /c1pointes/c0.","agh, /c1pinchos/c0.","argh, /c1espinhos/c0.","фу, /c1шипы/c0.",あぁ、/c1トゲ/c0ねぇ。
8,,i can't abide them. they're just so/p5 tacky.,bin nicht besonders scharf auf die.,je ne les supporte pas. trop/p5 ringardes.,"no los soporto, son una/p5 horterada.",eu não suporto essas coisas tão/p5 cafonas.,терпеть их не могу. такие/p5 безвкусные.,あれは苦手だよ。/p5なかなか取れないからね。
,,,,,,,,
9,,"you're not shock-proof, are you?","bist nicht zufällig schocksicher, oder?","tu n'es pas immunisé contre l'électrocution, hein ?","no tienes propiedades aislantes, ¿verdad?","você não é feito de material isolante, certo?",ты же не защищён от удара током?,君は電気ショックに強くないんだろ？
