ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,/p1./p1./p1.,/p1./p1./p1.,/p1./p1./p1.,/p1./p1./p1.,/p1./p1./p1.,/p1./p1./p1.,/p1./p1./p1.
,Advice and Gossip.,,,,,,,
1,,found anything interesting down there?,was interessantes da unten gefunden?,tu as trouvé quelque chose d'intéressant en bas ?,¿has visto algo interesante ahí abajo?,encontrou algo interessante lá embaixo?,found anything interesting down there?,地下で何かおもしろいものは見つかったかい？
1,,"i never get further than a floor in, most of the time.",ich selber war nie wirklich tiefer als ein paar stocke drin.,je descends rarement plus bas qu'un étage.,casi nunca desciendo más de un piso.,"não desço mais do que um andar, na maioria das vezes.","i never get further than a floor in, most of the time.",私はここより下に行くことはほとんどないんだ。
1,,maybe it's all for the better.,"ist aber auch gut so, denke ich.",c'est peut-être mieux ainsi.,aunque quizá sea por mi bien.,talvez seja uma escolha esperta.,maybe it's all for the better.,行かないにこしたことはないよ、
1,,don't wanna get my fur wet anyway.,will mir nicht das fell nass machen.,je ne veux pas mouiller ma fourrure de toute façon.,paso de empaparme el pelaje.,"de qualquer maneira, não quero molhar meus pelos.",don't wanna get my fur wet anyway.,毛皮を濡らしたくないからね。
,,,,,,,,
2,,"many different weapons down there, all branded with /c1'keywords'/c0.",viele waffen da unten besitzen verschiedene /c1'schlüsselworte'/c0.,il y a plein d'armes différentes en bas avec différents /c1« mots-clés »/c0.,"hay montones de armas ahí abajo, todas ellas etiquetadas con /c1'palabras clave'/c0.","há um montão de armas diferentes lá embaixo, todas marcadas com /c1'palavras-chave'/c0.","many different weapons down there, all branded with /c1'keywords'/c0.",地下にはいろいろな武器があって、どれも#/c1「キーワード」/c0が付いているんだ。
2,,they trade in firepower and capacity for some useful side-effects.,die bieten viele funktionen in tausch gegen feuerkraft und kapazität an.,ils échangent puissance de feu et capacité contre des effets utiles.,ceden algo de potencia y capacidad a cambio de efectos secundarios la mar de útiles.,eles abrem mão de poder e capacidade em troca de efeitos colaterais muito úteis.,they trade in firepower and capacity for some useful side-effects.,火力や容量と引き換えに、多くのバフを得ることができるよ。
2,,"nifty, eh?","nett, oder?","pratique, hein ?","se sale, ¿verdad?","legal, hein?","nifty, eh?",いいシステムじゃない？
,,,,,,,,
3,,try to keep your /c1multiplier/c0 high for /c1the big money/c0.,halte dein /c0multiplier/c1 hoch für das /c1große geld/c0.,garde un /c1multiplicateur/c0 élevé pour /c1gagner gros/c0.,trata de mantener un /c1multiplicador/c0 elevado para conseguir /c1pasta gansa/c0.,tente manter seu /c1multiplicador/c0 alto para ganhar /c1uma boa grana/c0.,try to keep your /c1multiplier/c0 high for /c1the big money/c0.,/c1たくさん稼ぐ/c0ために/c0倍率/c1を上げよう。
3,,it goes up while you're scrapping fools.,es geht auf während du andere zu schrott verarbeitest.,il augmente quand tu détruis des ennemis.,aumenta cada vez que conviertes a algún idiota en chatarra.,ele aumenta quando você transforma algum idiota em sucata.,it goes up while you're scrapping fools.,敵を倒している間は上がって
3,,and takes a hit when you do.,und hinab wenn du getroffen wirst.,et prend un coup quand tu en prends aussi.,y disminuye cuando recibes daño.,e diminui quando você sofre dano.,and takes a hit when you do.,被弾すると下がるんだ。
