ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,recovers 2 hp,stellt 2 hp#wieder her,restaure 2 pv,restaura 2 ps,recupera 2 de pv,recovers 2 hp,HP2回復
1,,"recovers 3 hp, yum!","stellt 3 hp#wieder her, mmmmm!","restaure 3 pv, miam !",restaura 3 ps. ¡ñam!,"recupera 3 de pv, oba!","recovers 3 hp, yum!",HP3回復！おいしそう！
2,,adds two bombs (up to 6),gibt zwei bomben (bis zu 6),ajoute deux bombes (6 max),añade 2 bombas (máx.: 6),adiciona duas bombas (máximo de 6),adds two bombs (up to 6),ボム2個追加（最大6個）
3,,reveals the entire floor,offenbart den gesamten stock,révèle l'étage entier,revela todo el piso,revela o andar inteiro,reveals the entire floor,フロア全体をマップに表示
4,,recovers 1 hp,stellt 1 hp#wieder her,restaure 1 pv,restaura 1 ps,recupera 1 de pv,recovers 1 hp,HP1回復
5,,recovers all ammo##/c5+A% max ammo if full,lädt die waffe nach##/c5+A% max ammo wenn voll,"recharge les munitions##/c5si pleines, munitions max +A%",recarga toda la munición##/c5+A% munición máx. si está llena,recupera toda a munição##/c5+A% de munição máxima se já estiver cheia,recovers all ammo##/c5+A% max ammo if full,弾薬を全回復##/c5すでに満タンの場合、最大弾数がA%増加
6,,increases max ammo by A%,erhoht die maximale#magazingröße um A%,munitions max +A%,aumenta la munición máx. un A%,aumenta a munição máxima em A%,increases max ammo by A%,最大弾数がA%増加
7,,increases max hp by 1,erhoht die maximale hp um 1,pv max +1,aumenta en 1 los ps máx.,aumenta o pv máximo em 1,increases max hp by 1,最大HPが1増加
8,,recovers 25% ammo,lädt 25% der waffe nach,recharge 25 % des munitions,recarga la munición un 25%,recupera 25% de munição,recovers 25% ammo,弾薬が25%回復
9,,increases max ammo by A%,erhoht die maximale#magazingröße um A%,munitions max +A%,aumenta la munición máx. un A%,aumenta a munição máxima em A%,increases max ammo by A%,最大弾数がA%増加
10,,adds a bomb (up to 6),gibt eine bombe (bis zu 6),ajoute une bombe (6 max),añade una bomba (máx.: 6),adiciona uma bomba (máximo de 6),adds a bomb (up to 6),ボム1個追加(最大6個)
11,,free money!,leichtes geld!,argent gratuit !,¡dinero gratis!,dinheiro grátis!,free money!,ボーナスゲット！
12,,unlocks vaults,öffnet kammern,ouvre des chambres,abre bóvedas,abre cofres,unlocks vaults,宝物庫のカギ
13,,D% damage increase,D% mehr schaden,D% de dégâts en plus,D% de aumento de daño,D% de aumento de dano,D% damage increase,ダメージD%上昇
14,,D% damage increase,D% mehr schaden,D% de dégâts en plus,D% de aumento de daño,D% de aumento de dano,D% damage increase,ダメージD%上昇
15,,+1 laser bomb##/c5fires a gigalaser/c0,+1 laser bombe##/c5feuert ein tödliches strahl/c0,+1 bombe laser##/c5tire un gigalaser/c0,+1 bomba láser##/c5dispara un gigaláser/c0,+1 bomba de laser##/c5dispara um gigalaser/c0,+1 laser bomb##/c5fires a gigalaser/c0,レーザーボム+1##/c5強力なレーザーを発射/c0
16,,+1 deep freeze bomb##/c5damages and freezes all enemies/c0,+1 frierbombe##/c5schadet und friert feinde ein/c0,+1 bombe glaciale##/c5dégâts et gel sur tous les ennemis/c0,+1 bomba congelante##/c5daña y congela a todos los enemigos/c0,+1 bomba de congelamento##/c5causa dano e congela todos os inimigos/c0,+1 deep freeze bomb##/c5damages and freezes all enemies/c0,フリーズボム+1##/c5ダメージを与え、すべての敵を凍らせる/c0
17,,old gun salvaged,alte waffe verwertet,vieux fusil recyclé,arma desguazada,arma antiga reciclada,old gun salvaged,古い武器をサルベージ
18,,key salvaged,schlüssel verwertet,clé récupérée,llave desguazada,chave reciclada,key salvaged,カギをサルベージ
19,,+1 time bomb##/c5lasts 4x as long/c0,+1 zeitbombe##/c5hält 4 mal länger an/c0,+1 bombe temporelle##/c5dure 4x plus longtemps/c0,+1 bomba de tiempo##/c5dura 4 veces más/c0,+1 bomba-relógio##/c5dura 4x mais/c0,+1 time bomb##/c5lasts 4x as long/c0,タイムボム+1 ##/c5持続時間4倍/c0
20,,new hat!,neuer hut!,nouveau chapeau !,¡nuevo sombrero!,novo chapéu!,new hat!,新しい帽子！
21,,+1 fire bomb##/c5damages all enemies/c0,+1 feuerbombe##/c5schadet alle feinde/c0,+1 bombe de feu##/c5dégâts sur tous les ennemis/c0,+1 bomba ígnea##/c5daña a todos los enemigos/c0,+1 bomba de fogo##/c5causa danos a todos os inimigos/c0,+1 fire bomb##/c5damages all enemies/c0,ファイアボム+1##/c5すべての敵にダメージ/c0
22,,+1 swarm bomb##/c5releases a burst of swarmers/c0,+1 schwarmbombe##/c5schickt ein pack schwärmer los/c0,+1 bombe essaim##/c5libère un rafale de bourdrones/c0,+1 bomba enjambre##/c5expulsa una ráfaga de zánganos/c0,+1 bomba de enxame##/c5libera uma explosão de enxamers/c0,+1 swarm bomb##/c5releases a burst of swarmers/c0,スウォームボム+1##/c5スウォーマーの大群を放出/c0
23,,is that a ribbon,ist das eine schleife,c'est un ruban ?,¿eso es un lazo?,isso é uma fita?,is that a ribbon,これはリボン？
24,,mysterious rectangle,geheimnisvoller rechteck,rectangle mystérieux,rectángulo misterioso,retângulo misterioso,mysterious rectangle,謎の長方形
25,,+2 hp parts##/c5collect %P to increase#your max hp by 1,+2 lebensteile##/c5sammle %P um deine#max hp um 1 zu erhöhen,+2 fragments de pv##/c5obtiens-en %P pour#obtenir +1 pv max,+2 porciones de ps##/c5obtén %P para aumentar#en 1 los ps máx.,+2 pedaços de pv##/c5colete %P para aumentar#seu pv máximo em 1,+2 hp parts##/c5collect %P to increase#your max hp by 1,HPパーツ+2##/c5%P個集めると最大HPが1増加
26,,+1 hp part##/c5collect %P to increase#your max hp by 1,+1 lebensteil##/c5sammle %P um deine#max hp um 1 zu erhöhen,+1 fragment de pv##/c5obtiens-en %P pour#obtenir +1 pv max,+1 porción de ps##/c5obtén %P para aumentar#en 1 los ps máx.,+1 pedaço de pv##/c5colete %P para aumentar#seu pv máximo em 1,+1 hp part##/c5collect %P to increase#your max hp by 1,HPパーツ+1##/c5%P個集めると最大HPが1増加
27,,recovers 50% ammo##/c5+A% max ammo if full,lädt 50% der waffe nach##/c5+A% max ammo wenn voll,"recharge 50 % des munitions##/c5si pleines, munitions max +A%",recarga el 50% de la munición##/c5+A% de munición máx. si está llena,recupera 50% de munição##/c5+A% de munição máxima se já estiver cheia,recovers 50% ammo##/c5+A% max ammo if full,弾薬を50%回復##/c5満タン時、最大弾数がA%増加
28,,"choose a new keyword for your weapon#and recover 20% ammo##/c5if you cannot gain a keyword,#get 20% ammo and some debris",erlange ein neues schlüsselwort# und 20% ammo##/c5wenn es nicht möglich ist#kriegst du 20% ammo und etwas schrott,"choisis un nouveau mot-clé pour l'arme#et récupère 20 % de munitions##/c5si tu n'as pas de mot-clé,#obtiens 20 % de munitions et des débris","palabra clave para tu arma#y recarga la munición un 20%##/c5si no puede añadirse la palabra clave,#otorga el 20% de munición y restos","escolha uma nova palavra-chave para sua arma#e recupere 20% de munição##/c5se você não conseguir obter uma palavra-chave,#obtenha 20% de munição e alguns destroços","choose a new keyword for your weapon#and recover 20% ammo##/c5if you cannot gain a keyword,#get 20% ammo and some debris",武器の新しいキーワードを選択し#弾薬20%回復##/c5キーワードを追加できない場合#弾薬20%とデブリを獲得
29,,"keyword item, overridden","keyword item, overridden","objet de mot-clé, annulé","objeto de palabra clave, anulado","item de palavra-chave, substituído","keyword item, overridden",キーワードアイテム、上書きされる
30,,this here be a crate,kiste mit sachen,caisse à objets,caja con cosas,isso é uma caixa,this here be a crate,箱
31,,+1 excavation bomb##/c5uncovers new rooms#/c4used last otherwise/c0,+1 schaufelbombe##/c5gräbt neue räume aus#/c4sonst immer zuletzt benutzt/c0,+1 bombe d'excavation##/c5révèle des salles#/c4s'utilise en dernier lieu/c0,+1 bomba excavadora##/c5revela salas nuevas#/c4o se usa como último recurso/c0,"+1 bomba de escavação##/c5revela novas salas#/c4senão, usada por último/c0",+1 excavation bomb##/c5uncovers new rooms#/c4used last otherwise/c0,発破ボム+1##/c5新しい部屋を発見##/c4それ以外の場合は最後に使用
32,,+1 gold bomb##/c5convert bullets to money/c0,+1 goldbombe##/c5wandelt geschosse in geld um/c0,+1 bombe d'or##/c5convertit balles en argent/c0,+1 bomba de oro##/c5convierte balas en dinero/c0,+1 bomba de ouro##/c5converte balas em dinheiro/c0,+1 gold bomb##/c5convert bullets to money/c0,ゴールドボム+1##/c5敵弾をお金に変える/c0
33,,+1 mirror bomb##/c5reflects bullets/c0,+1 spiegelbombe##/c5reflektiert geschosse/c0,+1 bombe miroir##/c5renvoie les balles/c0,+1 bomba reflectora##/c5refleja las balas/c0,+1 bomba refletora##/c5reflete balas/c0,+1 mirror bomb##/c5reflects bullets/c0,ミラーボム+1##/c5敵弾を跳ね返す/c0
34,,+1 energy bomb##/c4always used first in combat#+5% damage and speed while held/c0,+1 energiebombe#immer zuerst benutzt im kampf#+5% schaden und geschwindigkeit wenn getragen,+1 bombe d'énergie##/c4s'utilise en premier en combat#dégâts et vitesse +5% (portée)/c0,+1 bomba de energía##/c4se usa primero en combate#+5% de daño y vel. al poseerla/c0,+1 bomba de energia##/c4sempre usada primeiro em combate#+5% de dano e velocidade enquanto segurá-la/c0,+1 energy bomb##/c4always used first in combat#+5% damage and speed while held/c0,エネルギーボム+1##戦闘中、必ず最初に使用される#所有時、ダメージと移動スピードが5%上昇/c0
35,,+1 shattering bomb##/c5destroys all blocks/c0,+1 abrissbombe##/c5zerstört alle blöcke/c0,+1 bombe de démolition ##/c5détruit tous les blocs/c0,+1 bomba demoledora##/c5destruye todos los bloques/c0,+1 bomba demolidora##/c5destrói todos os blocos/c0,+1 shattering bomb##/c5destroys all blocks/c0,粉砕ボム+1##/c5すべてのブロックを破壊/c0
36,,gain a shield##/c5nullifies one hit taken,erlange ein schild##/c5blockt ein treffer komplett,octroie un bouclier##/c5annule un coup subi,obtén un escudo##/c5anula el daño una vez,ganha um escudo##/c5anula um ataque recebido,gain a shield##/c5nullifies one hit taken,シールドを獲得##/c5攻撃を1度だけ無効化する
37,,a minor valuable,eine geringere wertsache,objet de faible valeur,objeto valioso pequeño,algo de pouco valor,a minor valuable,ジャンク
38,,ancient can of tuna!##/c5extremely valuable#pick it up this instant!/c0,eine kanne thunfisch!##/c5extrem wertvoll#hebe es sofort auf!/c0,vieille boîte de thon !##/c5très précieuse#prends-la tout de suite !/c0,¡una lata de atún antiquísima!##/c5supervaliosa#¡llévatela sin pensarlo!/c0,lata de atum antiga!##/c5extremamente valiosa#pegue para você agora mesmo!/c0,ancient can of tuna!##/c5extremely valuable#pick it up this instant!/c0,古代のツナ缶！##/c5とても高価#すぐに拾おう！/c0
39,,fancy painting,kunstvolles bild,tableau chic,cuadro caro,pintura sofisticada,fancy painting,奇妙な絵画
