ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,,,,,,,
1,,set graphical options,grafische optionen,options graphiques,opciones de visualización,ajuste de opções gráficas,настройки графики,グラフィックオプションを設定
2,,set audio options,sound optionen,options audio,opciones de sonido,ajuste de opções de áudio,настройки звука,オーディオオプションを設定
3,,rebind controls#or set control mode,kontrolloptionen,options de contrôle ,opciones de control ,configurar controles,назначение клавиш и режим управления,操作の再割り当てや#操作モードを設定
4,,changes game language,wechselt die sprache,change la langue du jeu,cambia el idioma del juego,altera o idioma do jogo,смена языка игры,言語を変更
5,,change window mode,fenstereinstellung,changer le mode de fenêtre,cambia el modo de ventana,altera o modo de janela,режим окна,ウィンドウモードへ変更
6,,set window resolution,fensterauflösung,définit la résolution,ajusta la resolución,ajuste de resolução da janela,разрешение окна,ウィンドウ解像度を設定
7,,set cursor type,kursorauswahl,définit le curseur,define el tipo de cursor,definição do tipo de cursor,тип курсора,カーソルの種類を選択
8,,intensity of screen shaking,stärke des rüttelungseffekts,intensité des vibrations#de l'écran,intensidad del temblor#de pantalla,intensidade da vibração da tela,интенсивность тряски камеры,画面の揺れの強さ
9,,tones down#most flashing effects,reduziert die leuchteffekte,atténue les#effets clignotants,suaviza la mayoría#de efectos luminosos,suaviza a maioria#dos efeitos de iluminação,смягчает большинство мигающих эффектов,点滅エフェクトの#明るさを軽減
10,,volume of sound effects,lautstärke von soundeffekten,volume des effets sonores,volumen de los efectos,volume dos efeitos sonoros,громкость эффектов,効果音の音量
11,,volume of music,lautstärke der musik,volume de la musique,volumen de la música,volume da música,громкость музыки,音楽の音量
12,,rebind the controls,erlaubt die änderung#der kontrollschema,réaffecter les contrôles ,reasignar controles ,remapear controles ,назначить клавиши управления,操作を再割り当て
13,,removes the cursor#and allows dual-stick aiming,"entfernt den kursor,#erlaubt das kontroller-zielen",supprime le curseur et#permet la visée à deux sticks ,elimina el cursor para#apuntar con las palancas,remove o cursor e permite#mirar com os dois direcionais ,убирает курсор и включает прицеливание двумя#стиками,カーソルを消し#コントローラーでの照準を可能に
14,,toggles type of#directional sound,stellt den 3d sound ein,alterne le type du#son directionnel,activa o desactiva#el sonido direccional,ajuste do tipo de#som direcional,переключает тип пространственного звука,3Dサウンド#を切り替え
15,,sets scanline strength,stellt die stärke der#abtastlinien ein,définit l'intensité des#lignes de scan,define la intensidad de#las líneas de exploración,define a força#das linhas de varredura,сила линий развёртки,スキャンラインの強さを調整
