ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
,Ranks.,,,,,,,
0,,exalted soul,makellose seele,âme exaltée,alma exaltada,alma exaltada,exalted soul,高潔なる魂
1,,fearless delver,furchtloser taucher,creuseur intrépide,guía sin miedo,explorador destemido,fearless delver,勇猛な求道者
2,,master scavenger,meistersucher,pro de la récup',as de la chatarra,mestre das sucatas,master scavenger,採集の達人
3,,champion of the past,streiter der vergangenheit,champion du passé,adalid del pasado,campeão do passado,champion of the past,過去の王者
4,,challenger,herausforderer,challenger,contendiente,desafiador,challenger,チャレンジャー
5,,grim arbitor,grimmer arbiter,arbitre sinistre,agente fatal,árbitro sombrio,grim arbitor,悪の裁定者
6,,accomplished spelunker,tiefenentdecker,spéléologue accompli,crac de espeleología,espeleólogo talentoso,accomplished spelunker,ベテラン探検家
7,,aspirant,aspirant,aspirant,aspirante,aspirante,aspirant,志を持つ者
8,,toiling craft,protzschiff,travailleur,currante,nave esforçada,toiling craft,苦節の職人
9,,acolyte,lehrling,acolyte,acólito,assistente,acolyte,見習い
10,,bootleg ghost,heldenimitat,pseudo-fantôme,pseudofantasma,fantasma pirateado,bootleg ghost,脱法ゴースト
11,,just visiting,nur zu besuch,juste en visite,visitante,só de visita,just visiting,通りすがり
12,,orange farmer,orangenfarmer,cultivateur d'oranges,cosechanaranjas,produtor de laranja,orange farmer,オレンジ農家
13,,intentional sabotage?,absichtliche sabotage?,sabotage intentionnel ?,¿sabotaje intencional?,sabotagem intencional?,intentional sabotage?,わざとやってない？
,Tipps.,,,,,,,
14,,your bullets turn green when they bounce off of things.,"deine schüsse sind grün, wenn sie von wänden abprallen.",tes balles verdissent en rebondissant sur les éléments.,"al rebotar contra algo, tus balas se vuelven verdes.",suas balas ficam verdes quando ricocheteiam em alguma coisa.,your bullets turn green when they bounce off of things.,撃った弾は跳ね返ると緑色になる。
15,,red bullets mean twice the hurt.,rote schüsse bedeuten zweifachen schaden.,les balles rouges signifient dégâts doubles.,las balas rojas infligen el doble de daño.,balas vermelhas causam dano em dobro.,red bullets mean twice the hurt.,赤い敵弾は2倍痛い。
16,,walls don't hurt on touch. usually...,man kann wände gefahrlos anfassen. normalerweise...,les murs ne font rien au toucher. en général...,"los muros no hacen daño al tocarlos. al menos, normalmente...",as paredes não causam dano ao tocar nelas. geralmente é assim...,walls don't hurt on touch. usually...,壁にぶつかっても痛くない。普通はね…。
17,,some enemies are harder to push than others.,einige feinde sind schwerer zu schieben als andere.,certains ennemis sont plus difficiles à pousser.,algunos enemigos son más difíciles de empujar que otros.,alguns inimigos são mais difíceis de afastar do que outros.,some enemies are harder to push than others.,比較的、対処が難しい敵もいる。
18,,you win at gambling when rolling one or six.,beim würfeln gewinnst du mit einer eins oder sechs.,tu gagnes aux jeux avec un ou six.,"para ganar en las apuestas, consigue un uno o un seis al tirar el dado.",você ganha no jogo ao tirar um ou seis.,you win at gambling when rolling one or six.,ギャンブルは１か６の目を出せば勝ち。
19,,secret rooms can be entered from all adjacent rooms.,geheimräume können von allen benachbarten räumen betreten werden.,toutes les salles adjacentes mènent aux salles secrètes.,se puede acceder a las salas secretas desde las salas adyacentes.,é possível acessar salas secretas a partir de qualquer sala adjacente.,secret rooms can be entered from all adjacent rooms.,隠し部屋は、どの隣り合った部屋からでも#入れる。
20,,beat a boss with a high multiplier. i dare you.,besiege einen boss mit einen hohen multiplier wenn du's kannst.,élimine un boss avec un multiplicateur élevé. chiche.,derrota a un jefe con un multiplicador elevado. te reto a que lo hagas.,derrote um chefe com um multiplicador alto. quero ver se você consegue.,beat a boss with a high multiplier. i dare you.,高倍率でボスを倒すんだ。やってみよう。
21,,scrap that leaves the screen is lost forever.,"wenn der schrott den bildschirm verlässt, ist es für immer weg.",la ferraille qui quitte l'écran est définitivement perdue.,los restos que se salen de la pantalla se pierden para siempre.,a sucata que sai da tela desaparece para sempre.,scrap that leaves the screen is lost forever.,画面の外に行ってしまったスクラップは#もう手に入れることはできない。
22,,don't get caught inside moving walls.,bleibe nicht in bewegenden wänden stecken.,ne te fais pas prendre dans les murs qui bougent.,evita que te encierren los muros móviles.,evite ficar preso dentro de paredes móveis.,don't get caught inside moving walls.,動く壁の中に閉じ込められないようにしよう。
23,,water and ice slow things down and put out fires.,wasser und eis verlangsamen dinge und erlöschen feuer.,l'eau et la glace ralentissent et éteignent le feu.,el agua y el hielo ralentizan el tiempo y extinguen el fuego.,água e gelo desaceleram as coisas e apagam o fogo.,water and ice slow things down and put out fires.,水と氷は動きを鈍らせ、火をかき消す。
24,,ice mages are immune to icicles.,eismagier sind immun gegenüber eiszapfen.,les mages de glace sont insensibles aux stalactites.,los magos de hielo son inmunes a los témpanos.,magos de gelo são imunes a pingentes de gelo.,ice mages are immune to icicles.,氷系のメイジはつららへの耐性がある。
25,,dashing does not make you invulnerable.,tauchen macht dich nicht unverwundbar.,la propulsion ne te rend pas invulnérable.,los impulsos no te vuelven invulnerable.,acelerar não torna você invulnerável.,dashing does not make you invulnerable.,ダッシュしても無敵にはならない。
26,,"multiplier caps at 3, but is hard to raise past 2.5.","multiplier maximum ist 3, ist aber schwer nach 2.5 zu erhöhen.","le multiplicateur est limité à 3, mais c'est dur de passer 2,5.","el límite del multiplicador es 3, pero es difícil aumentarlo más allá de 2,5.","o limite do multiplicador é 3, mas é difícil aumentá-lo além de 2,5.","multiplier caps at 3, but is hard to raise past 2.5.",倍率の上限は3だが、2.5を超えるのは難しい。
27,,can you catch the hermit?,kannst du den einsiedler fangen?,pourras-tu attraper l'ermite ?,¿eres capaz de atrapar al ermitaño?,você é capaz de capturar o eremita?,can you catch the hermit?,ハーミットを捕まえられるかな？
28,,larger debris chunks means higher denomination.,größere schrottbrocken geben mehr geld ab.,les gros débris ont une valeur supérieure.,los restos más grandes valen más.,pedaços maiores de destroços têm valor mais alto.,larger debris chunks means higher denomination.,デブリの塊は大きいほど価値が高い。
29,,health beyond maximum contributes to more maximum health.,hp über den maximum trägt zu dem maximum bei.,obtenir de la santé avec des pv au max augmente les pv max.,obtener ps con la salud al máximo contribuye a aumentar la salud máxima.,obter vida quando estiver com o pv no máximo ajuda a aumentar a vida máxima.,health beyond maximum contributes to more maximum health.,HPが最大値を超えると、最大HPが増える。
30,,some keywords never appear in combination with others.,einige schlüsselworte können nicht mit anderen kombiniert werden.,certains mots-clés n'apparaissent jamais combinés.,algunas palabras clave nunca aparecen en combinación con otras.,algumas palavras-chave nunca aparecem combinadas com outras.,some keywords never appear in combination with others.,あるキーワードがあると出現しないキーワードがある。
31,,being crushed against a wall does not mean instant death.,von wänden zerquetscht bedeuted nicht gleich den tod.,se faire écraser contre un mur ne garantit pas une mort instantanée.,que un muro te aplaste no tiene por qué significar que mueras al instante.,ser esmagado contra uma parede não significa morte instantânea.,being crushed against a wall does not mean instant death.,壁に押しつぶされても即死にはならない。
32,,eternal rune circles indicate floor guardians.,ewige runenkreise markieren stockwächter.,les cercles de rune éternels indiquent les gardiens d'étages.,los anillos de runas eternas identifican a los guardianes del piso.,círculos rúnicos eternos indicam os guardiões de um andar.,eternal rune circles indicate floor guardians.,永遠のルーンの輪は、フロアの守護者を示す。
33,,you'll find more special rooms the deeper you go.,jeder stock hat nur ein spezialraum.,tu trouveras plus de salles spéciales vers le fond.,encontrarás más salas especiales cuanto más desciendas.,"quanto mais fundo você for, mais salas especiais encontrará.",you'll find more special rooms the deeper you go.,奥に進むほど特別な部屋が見つかる。
34,,never underestimate your default weapon.,unterschätze nie deine basiswaffe.,ne sous-estime pas ton arme par défaut.,no infravalores tu arma inicial.,nunca subestime sua arma inicial.,never underestimate your default weapon.,初期武装は侮れない。
35,,unique weapons accept no further keywords.,einzigartige waffen können keine weitere schlüsselworte annnehmen.,les armes uniques n'acceptent pas de mots-clés.,las armas únicas no admiten más palabras clave.,armas únicas não aceitam palavras-chave adicionais.,unique weapons accept no further keywords.,ユニーク武器にはキーワードを追加できない。
36,,some surplus pickups are recycled into cash.,überschüßige gegenstände werden automatisch verwertet.,le surplus d'objets collectés est recyclé en crédits.,algunos objetos de sobra se reciclan para obtener dinero.,alguns itens excedentes coletados são automaticamente reciclados e viram dinheiro.,some surplus pickups are recycled into cash.,拾ったアイテムが余っていたら、お金になる#ことがある。
37,,attacks push most invulnerable enemies away.,unverwundbare feinde werden vom schaden weggestoßen.,les attaques repoussent les ennemis plus coriaces.,los ataques empujan a la mayoría de los enemigos más débiles.,os ataques afastam a maioria dos inimigos invulneráveis.,attacks push most invulnerable enemies away.,攻撃はほとんどの不死身の敵を押しのける。
38,,"manually scrapping a weapon grants debris, but no health.","manuelle waffenverwertung erntet schrott, aber keine hp.","la destruction manuelle des armes donne des débris, mais pas de pv.","desechar un arma de forma manual otorga restos, pero no salud.","sucatear manualmente uma arma concede destroços, mas não pv.","manually scrapping a weapon grants debris, but no health.",手動で武器を解体するとデブリが手に入るが、体力は回復しない。
39,,"sword swings don't pass through walls, but fireball explosions do.","schwertstoße können nicht durch wände gehen, explosionen aber schon.","les coups d'épée ne traversent pas les murs, mais les explosions de boules de feu, si.","los espadazos no atraviesan muros, pero sí las explosiones de los orbes ígneos.","golpes de espada não pode atravessar paredes, mas explosões de bolas de fogo podem.","sword swings don't pass through walls, but fireball explosions do.",ソードは壁越しに当てられないが、#ファイアボールの爆発は壁の向こう側に及ぶ。
40,,life shop sells items for maximum health and health parts.,lebensladen verkauft sachen für maximale hp und hp teile.,le magasin de vie vend des objets de pv max et des fragments de pv.,la tienda de vida vende objetos para la salud máxima y porciones de salud.,a loja da vida vende itens para o máximo de saúde e pedaços de vida.,life shop sells items for maximum health and health parts.,ライフショップは最大HPやHPパーツと#引き換えにアイテムを売ってくれる。
41,,a weapon can hold a maximum of 4 keywords.,eine waffe kann nur 4 schlüsselworte haben.,une arme peut contenir 4 mots-clés maximum.,las armas admiten un máximo de 4 palabras clave.,uma arma pode conter no máximo 4 palavras-chave.,a weapon can hold a maximum of 4 keywords.,武器には最大4つのキーワードを付けられる。
42,,don't be afraid to spend bombs.,habe keine angst bomben zu nutzen.,n'aie pas peur d'utiliser des bombes.,no te cortes a la hora de usar bombas.,não hesite em usar bombas.,don't be afraid to spend bombs.,ボムは出し惜しみせず、どんどん使ってこう。
43,,frozen enemies have trouble spewing fire.,eingefrorene feinde haben schwierigkeiten feuer zu speien.,les ennemis gelés ont du mal à cracher du feu.,los enemigos congelados tienen problemas para escupir fuego.,inimigos congelados têm dificuldade em cuspir fogo.,frozen enemies have trouble spewing fire.,凍結状態の敵は、弾を撃つのが遅くなる。
44,,infinitely summoned enemies offer no rewards.,endlos beschwörte feinde hinterlassen keine belohnung.,les ennemis invoqués à l'infini n'offrent aucune récompense.,los enemigos invocados de forma ilimitada no otorgan recompensas.,inimigos invocados infinitamente não concedem recompensas.,infinitely summoned enemies offer no rewards.,無限に召喚される敵からは報酬を得られない。
45,,floorbound enemies react poorly to lack of solid ground.,bodenständige feinde reagieren schlecht darauf wenn der boden weg is.,les ennemis dépendants du sol réagissent mal quand il disparaît.,los enemigos que dependen del suelo sufren cuando este desaparece.,inimigos que dependem do solo reagem mal quando ele desaparece.,floorbound enemies react poorly to lack of solid ground.,床に乗っている敵は、足場がなくなると動きが鈍くなる。
46,,most purchases in my store can be toggled on and off.,meiste einkäufe in meinem laden können umgeschaltet werden.,la majorité des produits de mon magasin s'active ou se désactive.,la mayoría de los productos de mi tienda pueden activarse o desactivarse.,a maioria dos produtos da minha loja pode ser ativada e desativada.,most purchases in my store can be toggled on and off.,うちの商品のほとんどは、使うかどうかを切り替えられる。
47,,you can finetune your movement during a dash.,mit etwas finesse kann ein tauchmanöver präzise gesteuert werden.,tu peux ajuster ton mouvement pendant une propulsion.,puedes corregir tu trayectoria mientras ejecutas un impulso.,você pode ajustar a direção do seu movimento quando estiver acelerando.,you can finetune your movement during a dash.,ダッシュ中の動きは微調整できる。
48,,warning signs indicate extremely fast or powerful attacks.,warnzeichen markieren extrem schnelle oder starke angriffe.,les signaux d'alerte indiquent des attaques très rapides ou puissantes.,las señales de peligro indican ataques superrápidos o muy potentes.,sinais de alerta indicam ataques extremamente rápidos ou poderosos.,warning signs indicate extremely fast or powerful attacks.,警告マークは凄く速いか強力な攻撃の予告だ。
49,,you can view your damage and ammo values on the map screen.,deine attribute können auf dem kartenschirm verfolgt werden.,tu peux voir tes valeurs de dégâts et de munitions sur la carte.,consulta el daño que infliges y la munición en la pantalla del mapa.,você pode ver seus atributos de dano e munição na tela do mapa.,you can view your damage and ammo values on the map screen.,マップ画面でダメージと弾薬量を確認できる。
50,,"all debris carries over to the hub, even if you spend it.","all gesammelter schrott bleibt über, auch wenn ausgegeben.","même si tu les utilises, tous les débris sont envoyés au hub.","aunque los gastes, todos los restos se envían a la central.","todos os destroços são levados para a central, mesmo que você os gaste.","all debris carries over to the hub, even if you spend it.",集めたデブリは、消費してもすべてハブに送られる。
51,,keys are very valuable and are salvaged between floors.,schlüssel sind sehr wertvoll und werden zwischen stöcken verwertet.,les clés sont très précieuses et sont récupérées entre les étages.,las llaves son muy valiosas y se desguazan al cambiar de piso.,"as chaves são muito valiosas e são recicladas quando você muda de andar, concedendo a você um valor.",keys are very valuable and are salvaged between floors.,カギは非常に高価で、次のフロアに進むと#サルベージされる。
52,,discolored bullets are destructible.,farbenlose schüße können zerstört werden.,les balles décolorées sont destructibles.,las balas ensombrecidas se pueden destruir.,balas sem cor podem ser destruídas.,discolored bullets are destructible.,くすんだ色の敵弾は破壊できる。
53,,opening up breaches is very dangerous.,es ist gefährlich breschen zu öffnen.,c'est très dangereux d'ouvrir des brèches.,abrir fisuras es muy peligroso.,abrir rupturas é muito perigoso.,opening up breaches is very dangerous.,裂け目を開けるのは非常に危険だ。
54,,"map item reveals all the rooms, even secret ones.","karten offenbaren alle räume, auch die geheimen.","la carte révèle toutes les salles, même les secrètes.","el objeto 'mapa' revela todas las salas, incluidas las secretas.","o item do mapa revela todas as salas, até mesmo as secretas.","map item reveals all the rooms, even secret ones.",マップアイテムは隠し部屋を含むすべての部屋の場所がわかるようになる。
55,,drops marked by a lock do not disappear if you leave the room.,mit schloss versehene gegenstände verschwinden nicht wenn du den raum verlässt.,les butins marqué d'une serrure ne disparaissent pas quand tu quittes la salle.,los objetos con candado no desaparecen si abandonas la sala.,os itens marcados com um cadeado não desaparecem se você sair da sala.,drops marked by a lock do not disappear if you leave the room.,鍵マークが付いたアイテムは部屋を出ても#消えない。
56,,cursed weapons break on their own eventually.,verfluchte waffen brechen eventuell.,les armes maudites finissent par se détruire toutes seules.,las armas malditas se rompen solas en algún momento.,armas amaldiçoadas sempre quebram em algum momento.,cursed weapons break on their own eventually.,呪われた武器はいずれ勝手に壊れる。
57,,ghost lanterns spawn ghosts slower over time.,geisterlaternen beschwören langsamer mit der zeit.,les lanternes spectrales génèrent des fantômes moins vite au fil du temps.,los faroles fantasmales generan fantasmas con el tiempo.,lanternas fantasmas geram fantasmas mais lentamente com o passar do tempo.,ghost lanterns spawn ghosts slower over time.,ランタンは時間が経つにつれゴーストの発生が遅くなる。
58,,some items don't appear with certain characters or on certain lethality levels.,einige gegenstände tauchen nicht mit bestimmten charakteren oder auf bestimmten tödlichkeitslevels.,certains objets n'apparaissent pas avec certains personnages ou niveaux de létalité.,algunos objetos no aparecen con ciertos personajes o niveles de letalidad.,alguns itens não aparecem com certos personagens ou em certos níveis de letalidade.,some items don't appear with certain characters or on certain lethality levels.,一部のアイテムは機体や致死性レベルによっては出現しない。
59,,enemies flash when they're close to death.,feinde blinken wenn sie dem tode nahe sind.,les ennemis clignotent quand ils sont sur le point de mourir.,los enemigos brillan cuando están a punto de morir.,os inimigos piscam quando estão perto da morte.,enemies flash when they're close to death.,敵は瀕死になると点滅する。
60,,"bombs regenerate on their own, so feel free to use them judiciously.",bomben werden automatisch mit der zeit nachgeladen.,"les bombes se régénèrent seules, n'hésite pas à les mettre à profit.","las bombas se regeneran solas, así que tenlo en cuenta cuando las uses.","as bombas se regeneram sozinhas, então use-as de maneira sensata.","bombs regenerate on their own, so feel free to use them judiciously.",ボムは自動で回復するから、状況に応じて#どんどん使おう。
61,,enemies connected by lines are affected by an aura.,mit linien verbundene feinde stehen unter dem effekt einer aura.,les ennemis connectés par des lignes sont affectés par une aura.,los enemigos unidos por líneas están bajo los efectos de un aura.,os inimigos conectados por fios são sob o efeito de uma aura.,enemies connected by lines are affected by an aura.,線でつながれている敵はオーラの影響を受けている。
62,,"if several items are linked, you can only pick one of them.","wenn gegenstände mit linien gebunden sind, kannst du nur eins nehmen.","si plusieurs objets sont connectés, tu ne peux en choisir qu'un.","cuando hay varios objetos unidos, solo puedes elegir uno de ellos.","se vários itens estiverem vinculados, você só poderá escolher um deles.","if several items are linked, you can only pick one of them.",リンクしているアイテムからは、どれか1つしか選べない。
63,,enemies wake up immediately when damaged.,"wenn feinde schaden nehmen, wachen sie sofort auf.",les ennemis se réveillent en subissant des dégâts.,los enemigos se despiertan al instante cuando reciben daño.,os inimigos acordam imediatamente ao sofrerem dano.,enemies wake up immediately when damaged.,敵はダメージを受けるとすぐに目を覚ます。
64,,basic bombs are usually used first when out of combat. exceptions exist.,normalle bomben werden fast immer zuerst außer kampf benutzt. es gibt ausnahmen.,"les bombes ordinaires s'utilisent en premier hors combat, sauf exception.","salvo alguna excepción, las bombas básicas se usan primero fuera del combate.",bombas básicas geralmente são usadas primeiro fora de combate. há exceções.,basic bombs are usually used first when out of combat. exceptions exist.,通常ボムは戦闘中以外では最初に消費される。例外あり。
,Random.,,,,,,,
65,,laurels in your soup enhance the aroma.,lorbeeren in der suppe verbessern die aroma.,le laurier dans ta soupe donne de la saveur.,ponerle laurel a la sopa mejora el aroma.,louros em sua sopa realçam seu aroma.,laurels in your soup enhance the aroma.,スープに月桂樹を入れると香りがよくなる。
66,,there are no mistakes. only unfortunate accidents.,es gibt keine fehler. nur tragische unfälle.,"les erreurs n'existent pas, ce ne sont que de malheureux accidents.","no hay errores, sino accidentes desafortunados.","não há erros, mas sim acidentes infelizes.",there are no mistakes. only unfortunate accidents.,失敗なんてないんです。#すべて不運な事故なんですよ。
67,,"mmmmmm, secret room turkey.","mmmmmm, geheimraumbraten.","mmmmmm, dinde de salle secrète.","mmm, el pavo de la sala secreta.","mmmmmm, um peru de sala secreta.","mmmmmm, secret room turkey.",秘密のカギはキーっとどこかに。
68,,there are exactly four different sets of portals.,es gibt genau vier portalsätze.,il y a exactement quatre séries de portails.,hay exactamente cuatro conjuntos de portales diferentes.,existem exatamente quatro conjuntos diferentes de portais.,there are exactly four different sets of portals.,ポータルの組み合わせは4つまで。
69,,danger level... maximum.,gefahrlevel... maximum.,niveau de danger... maximum.,nivel de peligro... máximo.,nível de perigo... máximo.,danger level... maximum.,危険レベル：１００％
70,,"eat a flan on august, 15th.",iss ein pudding am 15ten august.,mange un flan le 15 août.,zámpate un flan el 15 de agosto.,coma um pudim no dia 15 de agosto.,"eat a flan on august, 15th.",いつか食べたいおいしいフラン。
71,,can't wait for that halloween candy.,kann nicht auf die haloweensüssigkeiten warten.,j'ai hâte de manger ces bonbons d'halloween.,qué ganas de caramelos de halloween.,mal posso esperar pelos doces de halloween.,can't wait for that halloween candy.,キャンディもらいに教会へ行こう。アーメン。
72,,what's your drink of choice? mine's milk.,was ist dein lieblingsgetränk? mein's milch.,"c'est quoi ta boisson préférée ? Moi, c'est le lait.",¿cuál es tu bebida favorita? la mía es la leche.,qual é a sua bebida favorita? a minha leite.,what's your drink of choice? mine's milk.,君の好きな飲み物は？私はミルクだ。
73,,"down, down he goes. where he stops? nobody knows.","runter, runter er geht. wenn bleibt er stehen? keine idee.","tout en bas, il va. où s'arrête-t-il ? personne ne le sait.",baja que te baja y ¿dónde se detiene? nadie lo sabe.,"lá vai ele, mais e mais fundo. onde ele vai parar? ninguém sabe.","down, down he goes. where he stops? nobody knows.",彼はどんどん降りていく。一体どこまで#降りるのか？それは誰にもわからない。
74,,291291,291291,291291,291291,291291,291291,２９１２９１
75,,just shoot and dash.,schiesse und tauche einfach.,"tire et propulse-toi, c'est tout.",solo tienes que disparar y usa impulsos.,é só atirar e acelerar.,just shoot and dash.,とにかく撃ってダッシュ！
76,,armor tac is late on the money. break his legs.,rüstungstac ist spät mit dem geld. brich seine beine.,armor tac n'a pas payé à l'heure. casse-lui les jambes.,armor tac no ha pagado lo que debe. pártele las piernas.,o blindado tac não pagou o que deve. quebre as pernas dele.,armor tac is late on the money. break his legs.,アーマー・タックは遅きに失した。#足で稼ごう。
77,,"if a swarmer is off-sight, does it really exist?","wenn du einen schwärmer nicht sehen kannst, existiert es wirklich?","si un bourdrone est hors de vue, existe-t-il vraiment ?",¿realmente existen los zánganos cuando no los ves?,um enxamer continua existindo quando não é possível vê-lo?,"if a swarmer is off-sight, does it really exist?",観測されないスウォーマーは、果たして存在#しているのか？
78,,fish can't roll.,fisch kann nicht rollen.,les poissons ne roulent pas.,los peces no dan volteretas.,peixes não rolam.,fish can't roll.,魚の向きが逆さかな？
