ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,bullet sharpener,kugelschleifer,affûte-balles,afilabalas,afiador de balas,заточка пуль,シャープ弾
1,,mass injector,masseninjektor,injecteur de masse,inyector de masa,injetor de massa,масс-инжектор,マスインジェクター
2,,vorpal rifling,vorpalgewehr,fusil vorpal,estriado vorpal,ranhura vorpal,ворпальная нарезка,ヴォーパルライフル
3,,improved scope,besseres zielfernrorh,lunette améliorée,mira superlarga,mira aprimorada,улучшенный прицел,強化スコープ
4,,napalm packets,napalmpaket,paquets de napalm,paquetes de napalm,pacotes de napalm,пакеты напалма,ナパーム弾
5,,nitrogen cooling,stickstoffkühlung,refroidisseur à l'azote,enfriador de nitrógeno,resfriamento de nitrogênio,азотное охлаждение,窒素冷却
6,,extradimensional magazine,extradimensionaler magazin,chargeur extradimensionnel,cargador extradimensional,carregador extradimensional,экстрамерный магазин,他次元マガジン
7,,forked barrel,gabelrohr,canon fourchu,cañón bifurcado,canhão bifurcado,раздвоенный ствол,分割型バレル
8,,kingmaker,königmacher,faiseur de rois,hacedor de reyes,fazedor de reis,делатель королей,キングメーカー
9,,rubberized bullets,gummiartige kugeln,balles en caoutchouc,balas recauchutadas,balas emborrachadas,резиновые пули,ゴム弾
10,,corner sights,ecksicht,visées d'angles,miras angulares,miras angulares,угловой прицел,周辺視野
11,,reverb amplifier,hallfverstärker,amplificateur d'échos,amplificador de eco,amplificador de reverberação,ревербератор,リバーブアンプ
12,,coil-wrapped rounds,spulkugeln,bobines balistiques,bobinas balísticas,bobinas balísticas,катушечные патроны,コイル弾
13,,edged casings,scharfmantel,douilles affilées,camisas afiladas,cascos afiados,заострённые гильзы,鋭い弾丸
14,,adamantite tips,adamantiumspitzen,pointes d'adamantine,puntas de adamantita,pontas de adamantita,адамантитовые нак.,アダマンチウム弾
15,,rune-engraved hammer,runen-gravirter hammer,marteau à runes,martillo rúnico,martelo rúnico,молот с рунами,ルーン・ハンマー
16,,7-slot chamber,7-haltige kammer,barillet à 7 chambres,tambor de 7 ranuras,tambor de 7 balas,барабан на 7 ячеек,7発装填スロット
17,,layered casings,beschichtete mantel,douilles recouvertes,camisas revestidas,revestimento em camadas,многослойные гильзы,多層薬莢
18,,cadmium alloyed rounds,cadmium-legierte kugeln,balles de cadmium,balas de cadmio,balas de cádmio,кадмиевые патроны,カドミウム合金弾
19,,backup sword,notfallschwert,épée d'urgence,espada de emergencia,espada reserva,запасной меч,バックアップ・ソード
20,,ai controlled bullets,ai-kontrollierte kugeln,balles guidées par ia,balas guiadas por ia,balas controladas por ia,пули под управлением ИИ,AI制御弾
21,,larger pockets,größere taschen,poches plus grandes,compartimentos grandes,bolsos maiores,большие карманы,大型ポケット
22,,impact feeder,aufprallleiter,conducteur d'impact,alimentador de impacto,alimentador de impacto,ударный подаватель,インパクト・コンダクター
23,,hunter attachment,jägeransatz,accessoires de chasse,accesorio de cazador,anexo caçador,насадка охотника,ハンターアタッチメント
24,,lighter alloying,leichtere legierung,alliage plus léger,aleaciones ligeras,liga leve,облегчённый сплав,軽量合金
25,,board oracle,bordorakel,circuit d'oracle,panel de oráculo,painel de oráculo,карманный оракул,携行型神託
26,,unstable propellant,instabiles treibmittel,propulseur instable,propulsor inestable,propulsor instável,нестабильный пропеллент,不安定推進剤
27,,jormungandr's fang,reisszahn von jormungandr,croc de jormungandr,colmillo de jormungandr,presa de jormungandr,клык ёрмунганда,ヨルムンガンドの牙
28,,memento mori,memento mori,memento mori,memento mori,memento mori,memento mori,メメント・モリ
29,,huntsman's tools,jägerwerkzeug,outils de chasseur,aperos de caza,ferramentas de caçador,снаряжение охотника,狩人の道具
30,,unbound relic,ungebundenes relikt,relique libérée,reliquia liberada,relíquia desvinculada,свободная реликвия,解き放たれた遺物
31,,surplus buzzsaw,überschussige kreissäge,scies bonus,sierra circular extra,serra circular extra,запасная пила,予備サイクロン
32,,belt mechanism,gürtelmechanism,mécanisme de ceinture,cinta de municiones,mecanismo de cinto,ленточный механизм,ベルト機構
33,,improved carburetor,besserer vergaser,carburateur amélioré,carburador mejorado,carburador melhorado,улучшенный карбюратор,改造型キャブレター
34,,tiny blue sword,kleines blaues schwert,petite épée bleue,miniespada azul,espadinha azul,маленький синий меч,青の短刀
35,,rear-view mirror,rückspiegel,rétroviseur,espejo retrovisor,espelho retrovisor,зеркало заднего вида,バックミラー
36,,weak-spot highlighting,schwachpunkt highlight,détecteur de points faibles,detector de debilidades,detector de ponto fraco,подсветка слабых мест,弱点ハイライト
37,,game-wizard pack,spielassistent,assistant de jeu,pack de jugón,pacote de assistente de jogo,набор игрового мага,裏技パック
38,,sacred goblet,heiliger kelch,gobelet sacré,cáliz divino,cálice sagrado,священная чаша,聖杯
39,,spectre's cowl,geisterhaube,capuche de spectre,capucha espectral,capuz fantasma,капюшон призрака,スペクターの頭巾
40,,survival kit,überlebensausrüstung,kit de survie,kit de supervivencia,kit de sobrevivência,набор выживания,サバイバルキット
41,,reinforced sights,verstärktes visier,vision renforcée,miras reforzadas,miras reforçadas,усиленный прицел,強化視覚
42,,efficient battery,effiziente batterie,batterie efficace,batería eficiente,bateria eficiente,эффективный аккумулятор,高性能バッテリー
43,,bullet compressor,kugelkompaktor,compresseur de balles,compresor balístico,compressor de bala,компрессор пуль,弾丸圧縮機
44,,sacred arms,heilige waffen,armes sacrées,armas divinas,armas sagradas,священное оружие,聖なる武器
45,,grasp of entropy,griff der entropie,emprise de l'entropie,agarre entrópico,garra entrópica,хватка энтропии,エントロピーの支配
46,,fractured runestones,gebrochene runensteine,pierres runiques brisées,runas fracturadas,pedras rúnicas fraturadas,расколотые рунные камни,割れたルーンストーン
47,,sack of ammo,ammosack,sac de munitions,bolsa de municiones,saco de munição,мешок боезапаса,弾薬袋
48,,berserker's heart,berserkerherz,cœur de berserker,corazón de berserker,coração de berserker,сердце берсерка,狂戦士の心
49,,hidden blades,versteckte klingen,lames cachées,hojas ocultas,lâminas ocultas,скрытые клинки,隠し刃
50,,edge of reality,rand der realität,bord de réalité,filo de la realidad,limite da realidade,грань реальности,具現の刃
51,,weathered soulstone,verwitterter seelenstein,pierre d'âme usée,piedra de alma desgastada,pedra da alma desgastada,выветренный камень душ,風化したソウルストーン
52,,seerstone fragment,sehersteinfragment,pierre divinatoire,piedra de la adivinación,fragmento de pedra de adivinhação,осколок камня провидца,シーアストーンの欠片
53,,experimental biowweapon,experimentale biowaffe,arme bio expérimentale,bioarma experimental,arma biológica experimental,экспериментальное биооружие,実験的生物兵器
54,,viral payload,virale bombenlast,charge virale,carga viral,carga viral,вирусный заряд,ウイルス弾
55,,gunpowder reclaimer,pulvererstatter,récupérateur de poudre,recuperador de pólvora,recuperador de pólvora,рекуператор пороха,火薬回収機
56,,ring of death,todesring,anneau de mort,anillo de la muerte,anel da morte,кольцо смерти,死の指輪
57,,bullet expressor,kugelexpress,déchargeur de balles,acelerador balístico,acelerador balístico,пулевой экспрессор,弾丸押出し装置
58,,ire amplifier,zornverstärker,amplificateur d'ire,amplificador de ira,amplificador de ira,усилитель гнева,怒り増幅器
59,,4-d shifter,4-d schalter,commutateur 4-d,selector 4d,transformador 4-d,4-мерный сдвиг,4Dシフター
60,,blessed thrusters,heiliges triebwerk,propulseurs bénis,propulsores benditos,propulsores abençoados,благословенные ускорители,聖スラスター
61,,death knight's cleaver,hackbeil des todesritters,fendoir de chevalier mort,hoja de caballero muerto,cutelo do cavaleiro da morte,тесак рыцаря смерти,死の騎士のクリーバー
62,,ominous fan,verhängnislüfter,éventail sinistre,abanico siniestro,leque sinistro,зловещий веер,不気味なファン
