ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,n/a,n/a,n/a,n/a,n/a,н/д,該当なし
1,,white death,weisstod,mort blanche,muerte blanca,morte branca,белая смерть,ホワイト・デス
2,,dragonbreath,drachenatem,souffle de dragon,aliento de dragón,bafo de dragão,драконье дыхание,ドラゴンブレス
3,,donner,donner,tonnerre,tronadora,donner,донер,ドナー
4,,latafayn,latafayn,latafayn,latafayn,latafayn,латафейн,ラタフェイン
5,,snowblower,eisbrecher,canon à neige,cañón de nieve,soprador de neve,снегодув,スノーブロワー
6,,gun with no name,namenloser revolver,arme sans nom,el arma sin nombre,arma sem nome,безымянный ствол,名もなき銃
7,,iron fist,eisenfaust,poing de fer,puño de hierro,punho de ferro,железный кулак,アイアン・フィスト
8,,shockwave,schockwelle,onde de choc,onda de choque,onda de choque,ударная волна,ショックウェーブ
9,,gorynich,gorynich,gorynich,gorynich,gorynich,горыныч,ゴリニッチ
10,,sveela,sveela,sveela,sveela,sveela,свила,スヴェーラ
11,,lidenbrock,lidenbrock,lidenbrock,lidenbrock,lidenbrock,лиденброк,リデンブロック
12,,longinus,longinus,longin,lanza sagrada,longinus,лонгин,ロンギヌス
13,,eternal vigil,ewigwacht,vigile éternel,vigilia eterna,vigília eterna,вечное бдение,エターナル・ヴィジル
14,,chronoton,chronoton,chronoton,cronotón,cronoton,хронотон,クロノトン
15,,purifier,reiniger,purificateur,purificadora,purificador,очиститель,ピュリファイヤー
16,,luxor,luxor,louxor,luxor,luxor,луксор,ルクソール
17,,excalibur,excalibur,excalibur,excalibur,excalibur,экскалибур,エクスカリバー
18,,genocide,massaker,massacre,masacre,genocídio,геноцид,ジェノサイド
19,,headhunter,kopfjäger,chasseur de têtes,cazatrofeos,caçador de cabeças,охотник за головами,ヘッドハンター
20,,the claw,die klaue,la griffe,la garra,a garra,коготь,爪
21,,twinwave,zwillingswelle,onde jumelle,onda gemela,onda dupla,двойная волна,ツインウェーブ
22,,black hole,schwarzes loch,trou noir,agujero negro,buraco negro,чёрная дыра,ブラックホール
23,,solaris,solaris,solaris,solaris,solaris,солярис,ソラリス
24,,crimson lotus,brennroter lotus,lotus pourpre,loto carmesí,lótus carmesim,алый лотос,クリムゾン・ロータス
25,,thousand needles,tausend nadeln,mille aiguilles,millar de agujas,mil agulhas,тысяча игл,サウザンド・ニードル
26,,council's blessing,peitschenhieb,bénédiction du conseil,bendición del consejo,bênção do conselho,благословение совета,評議会の祝福
27,,world's largest gun,weltgrößte knarre,arme énormissime,arma mastodóntica,a maior arma do mundo,самый большой ствол,ビッグ・ガン
28,,worldfire,weltfeuer,feu mondial,incendiamundos,fogo planetário,мировой огонь,ワールドファイア
29,,bonechill,knochenfrierer,glace-sang,hielahuesos,gela ossos,ледяной холод,ボーンチル
30,,phantom edge,phantomklinge,lame fantôme,filo fantasmal,lâmina fantasma,призрачный клинок,ファントムエッジ
31,,atomica,atomica,atomique,atómica,atômico,атомика,アトミカ
32,,detonator,detonator,détonateur,detonadora,detonador,детонатор,デトネーター
33,,delta,delta,delta,delta,delta,дельта,デルタ
34,,soundwave,schallwelle,onde sonore,onda sónica,onda sonora,звуковая волна,サウンドウェーブ
35,,corona,corona,corona,corona,coroa,корона,コロナ
36,,zephyr,zephyr,zéphyr,zafiro,zéfiro,зефир,ゼファー
37,,excavator,ausgraber,excavateur,excavadora,escavadora,экскаватор,エクスカベイター
38,,painstaker,schmerzpfähler,empaleur,empaladora,estaca da dor,мучитель,ペインズテイカー
39,,hand of the first,hand des ersten,main du premier,mano del primero,mão do primeiro,рука первого,原初の手
40,,ace of wands,ass der stäbe,as de bâton,as de bastos,ás de varinhas,туз жезлов,ワンドのエース
41,,ace of swords,ass der schwerter,as d'épées,as de espadas,ás de espadas,туз мечей,ソードのエース
42,,sacred arms,heiliger arsenal,armes sacrées,armas divinas,armas sagradas,священное оружие,神聖なる武器
43,,grasp of entropy,griff der entropie,emprise de l'entropie,agarre entrópico,garra entrópica,хватка энтропии,エントロピー支配
44,,edge of reality,schneide der ewigkeit,bord de la réalité,filo de la realidad,limite da realidade,грань реальности,現実の境界
45,,hex,hex,hex,hex,hex,hex,ヘックス
46,,biohazard,biogefahr,risque biologique,riesgo biológico,risco biológico,биоопасность,バイオハザード
47,,deployment array,einsatzbatterie,réseau de déploiement,matriz desplegable,matriz de implantação,массив развёртки,デプロイメント・アレイ
48,,maelstrom,malstrom,maelstrom,vorágine,redemoinho,мальстрём,メイルストロム
49,,sokobash,sokohieb,sokobam,sokobash,sokobate,сокобаш,ソコバッシュ
50,,reventador,reventador,reventador,reventador,reventador,ревентадор,レヴェンタドール
51,,deathwind,todeswind,vent mortel,viento mortal,vento mortal,смертный ветер,デスウィンド
52,,crosswave,kreuzwelle,onde croisée,onda cruzada,onda cruzada,крестовая волна,クロスウェーブ
53,,gathering storm,aufsturm,tempête imminente,tormenta inminente,tempestade crescente,надвигающийся шторм,ギャザリングストーム
54,,soulfury,seelenwut,âme rageuse,furia de alma,fúria da alma,ярость душ,ソウルフューリー
55,,skewerstorm,spießsturm,orage de piques,tormenta afilada,tempestade de espeto,шторм копий,スキュワーストーム
56,,stinger,stecher,dard,aguijón,ferrão,жало,スティンガー
57,,visitor's echo,echo des besuchers,écho de visiteur,eco del visitante,eco do visitante,эхо гостя,来訪者の残響
58,,axioms,axiome,axiomes,axiomas,axiomas,аксиомы,アクシオム
