ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,gain extra rewards#when replacing weapons,extra belohnung beim#austausch von waffen,récompenses bonus#en remplaçant des armes,obtén más recompensas#al sustituir armas,obtenha recompensas extras#ao substituir armas,gain extra rewards#when replacing weapons,武器交換時の#報酬を追加
1,,"immunity to lightning, frost,#and hazards","immun zu blitz, frost#und umgebungsschaden","immunité à la foudre,#au gel et aux dangers","inmunidad a rayos, escarcha#y peligros del entorno","concede imunidade a raios, geadas e danos do ambiente","immunity to lightning, frost,#and hazards",電流、凍結、および#環境ダメージへの耐性を得る
2,,provides safety#between each hit,gibt sicherheit#zwischen jedem treffer,accorde la sécurité#entre les coups,te protege entre#cada impacto recibido,fornece proteção#entre cada vez que for atingido,provides safety#between each hit,被弾時の無敵時間を延長
3,,"reveals some rooms on#every floor, show enemy hp","offenbart einige räume#auf jedem level, zeigt hp","révèle des salles à#chaque étage,#montre les pv des ennemis",revela salas en cada piso#y muestra los ps enemigos,"revela algumas salas em#todos os andares, mostra o pv do inimigo","reveals some rooms on#every floor, show enemy hp",各フロアの一部の部屋と#敵のHPを表示
4,,enemies take longer#to activate,feinde brauchen länger#um aktiv zu werden,les ennemis s'activent#moins vite,los enemigos tardan más#en activarse,os inimigos levam mais tempo#para serem ativados,enemies take longer#to activate,敵が動き出すまでの#時間が長くなる
5,,purchases are#33% cheaper,käufe sind#33% billiger,les achats sont#33 % moins chers,33% de descuento#al comprar,oferece 33% de desconto#nas compras,purchases are#33% cheaper,購入価格が#33%安くなる
6,,negate damage while#on more than 2 bombs,autobombe wenn getroffen#mit über 2 bomben,annule les dégâts quand#tu as plus de 2 bombes,evita el daño cuando tienes#más de 2 bombas,ignora danos quando tiver#com mais de 2 bombas,negate damage while#on more than 2 bombs,ボムを3個以上持っている場合#ダメージ無効
7,,increases maximum#hit points by 1/3##prevents double damage#once per room,erhoht die maximale#gesundheit um 1/3#verhindert doppelschaden#einmal pro raum,augmente les pv max#de 1/3##évite des dégâts doubles#une fois par salle,aumenta los#ps máx. en 1/3##evita el daño doble#una vez por sala,aumenta os pv máximos#em 1/3##protege contra dano duplo#uma vez por sala,increases maximum#hit points by 1/3##prevents double damage#once per room,最大HPが1/3上昇。##1部屋につき1回だけ#2倍ダメージを軽減。
8,,creates a selection#of powerful weapons,bietet eine auswahl von#mächtigen waffen dar,crée une sélection#d'armes puissantes,crea una selección#de armas potentes,cria uma seleção#de armas poderosas,creates a selection#of powerful weapons,強力な武器を作成し、#その中から1つ選択
9,,teleport when dashing,teleportation durch den#tauchmanöver,la propulsion téléporte,te teletransportas#al usar el impulso,você se teletransporta ao acelerar,teleport when dashing,ダッシュでテレポート
10,,gain 10 health#gain 100% ammo#gain max multiplier,"erlange 10 hp,#100% ammo und#vollen multiplier","obtiens 10 pv,#100 % de munitions#et multiplicateur max",obtienes 10 ps#100% de la munición#multiplicador máximo,ganhe 10 de pv#ganhe 100% de munição#ganhe multiplicador máximo,gain 10 health#gain 100% ammo#gain max multiplier,HP10、#弾薬100%を獲得#倍率が最大値になる
11,,max bomb cap +1#bombs can break walls,+1 max bombenzahl#bomben können wände brechen,limite de bombes +1#les bombes peuvent#détruire les murs,+1 al límite de bombas#estas pueden romper muros,+1 de limite máximo de bombas#bombas podem quebrar paredes,max bomb cap +1#bombs can break walls,ボム最大所持数+1#ボムで壁を破壊可能
12,,better and more#frequent item drops,mehr und bessere schätze,meilleurs objets#plus fréquents,objetos mejores y#más frecuentes,itens melhores#e mais frequentes,better and more#frequent item drops,アイテムドロップの#質と数が向上する
13,,+10% damage#improves default weapon,+10% schaden#verbessert die standardwaffe,dégâts +10 %#améliore arme par défaut,+10% de daño#mejora el arma inicial,+10% de dano#melhora a arma inicial,+10% damage#improves default weapon,ダメージ+10%#初期武装を強化
14,,"this is what you came for,#isn't it?","du hast danach gesucht,#hast du nicht?","c'est ce que tu cherchais,#pas vrai ?","esto es lo que buscabas,#¿verdad?","era isso que você estava procurando, não era?","this is what you came for,#isn't it?",これこそお前が求めてきたものだろう？
15,,"revive on death#with extra damage,#explosively",nach dem tod#einmal mit extraschaden belebt#auf explosive weise.,"ressuscite avec#dégâts bonus,#et explosion",resucita al morir#con más daño y#explotando,revive ao morrer#com dano extra#e explodindo,"revive on death#with extra damage,#explosively",死亡時に、追加ダメージと共に#爆発を伴い復活
16,,collecting scrap#increases speed and damage,sammlung von schrott erhöht#schaden und geschwindigkeit,récupérer de la ferraille#augmente vitesse et dégâts,obtener restos aumenta#la velocidad y el daño,coletar sucata#aumenta a velocidade e o dano,collecting scrap#increases speed and damage,スクラップを集めると#ダメージと移動速度が上昇
17,,your maximum charge#is doubled,maximale aktivladung#ist verdoppelt,double ta charge maximum,duplica tu carga#máxima,sua carga máxima#é duplicada,your maximum charge#is doubled,最大チャージ量が#2倍になる
18,,create a selection of carts#you can pick two,eine auswahl von steckmodulen#du kannst zwei nehmen,crée plusieurs cartouches#choisis-en deux,crea varios cartuchos#puedes elegir dos,crie uma seleção de cartuchos#você pode escolher dois,create a selection of carts#you can pick two,カセットを作成し、#その中から2つ選択
19,,empty weapons don't break#gain 20% max ammo,leere waffen brechen nicht#erlange 20% max ammo,armes vides incassables#munitions max +20 %,armas vacías irrompibles#+20% de munición máx.,armas vazias não quebram#ganha 20% de munição máxima,empty weapons don't break#gain 20% max ammo,弾薬が空になっても武器が壊れなくなる#最大弾数が20%増加
