ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,"when replacing a non-basic weapon, debris is doubled and you gain hp or max ammo in sequence. unique weapons also yield damage.",doppelt so viel schrott und entweder hp oder max ammo beim waffenaustausch. einzigartige waffen geben auch schaden.,"en remplaçant une arme unique, double les débris et restaure des pv ou des munitions max. augmentent aussi les dégâts.","sustituir un arma no básica otorga el doble de restos y ps o munición máx.#si el arma es única, también aumenta el daño.","substituir uma arma não básica concede destroços em dobro, e você ganha pv ou munição máxima. se for uma arma única, também aumenta o dano.",при замене небазового#оружия лом удваивается#и поочерёдно растут#ОЗ или макс. боезапас.#уникальное оружие#даёт ещё и урон.,基本武器以外から武器を交換した場合の#デブリ獲得量が2倍になり、HPか最大弾薬が増加。#ユニーク武器はダメージも上昇する。
1,,"unaffected by lightning damage, spikes, icicles and not slowed down by frost or water.","kein schaden durch blitz, stacheln, eiszapfen und nicht von wasser oder frost verlangsamt.","immunité contre les dégâts de foudre, de piques et de stalactites. l'eau et le gel ne ralentissent pas.","te vuelve inmune a los rayos, pinchos y témpanos, y a la ralentización por escarcha o agua.","você fica imune a raios, espinhos, pingentes de gelo e não é desacelerado por geada ou água.","нет урона от#молний, шипов,#сосулек. вода и#лёд не замедляют.",電流、トゲ、つららによるダメージを受けず、#水中や凍結で移動速度が低下しない。
2,,invulnerability time when taking a hit is doubled.#clear nearby bullets when it wears off.,nach einem treffer zweimal so lange unverwundbar wie sonst.#danach werden nahe schüsse zerstört.,double la durée d'invulnérabilité en subissant des dégâts.#supprime les balles proches à la fin de l'effet.,duplica la duración de la invulnerabilidad tras recibir un impacto.#elimina las balas cercanas cuando se agota el efecto.,dobra o tempo de invulnerabilidade após ser atingido.#elimina as balas próximas quando o efeito passa.,время неуязвимости после попадания удваивается.#ближние пули исчезают когда оно заканчивается.,攻撃を受けた後、無敵状態が2倍長くなる。#近くの破壊可能な敵弾が消える。
3,,"reveals some rooms when entering a new floor, identifies shortcut contents and key position.#normal enemy health becomes visible under them.","ein raumanteil auf jedem stock, sowie info über abkürzungen und schlüssel werden offenbart. feindliches hp wird angezeigt.","révèle des salles en arrivant à un nouvel étage, identifie le contenu des raccourcis et la position des clés.#affiche la santé des ennemis normaux.","revela salas al cambiar de piso, indica qué contienen los atajos y dónde están las llaves.#muestra la salud de los enemigos normales.","revela algumas salas quando entrar em um novo andar, indica o conteúdo dos atalhos e a posição da chave.#exibe o pv de inimigos normais abaixo deles.","при входе на новый этаж открывает часть комнат, показывает содержимое#срезок и позицию ключа. ОЗ обычных врагов отображается под ними.",新しいフロアの部屋の一部と抜け道や鍵の#位置がマップに表示される。#通常敵のHPが表示される。
4,,"enemies take 3 times as long to activate when you enter a room, damage still wakes them up immediately.",feinde brauchen 3 mal so lange nach dem betreten eines raums um aufzuwachen. schaden weckt sie sofort auf.,"les ennemis s'activent 3 fois moins vite quand tu entres dans une salle, les dégâts les réveillent immédiatement.","siempre y cuando no reciban daño, los enemigos tardan el triple en activarse al entrar en una sala.",os inimigos levam 3 vezes mais tempo para ativarem quando você entra em uma sala. causar dano a eles ainda fará com que acordem imediatamente.,при входе в комнату#враги активируются в 3#раза медленнее. урон всё#равно будит их мгновенно.,部屋に入ってから敵が気づくまでの時間が#3倍長くなる。
5,,all purchases that cost debris have their cost reduced by 33%.#does not affect gambling.,alle gegenstände die schrott kosten sind 33% billiger.#kein effekt beim glückspiel.,le prix des achats en débris est réduit de 33 %.#n'affecte pas les paris.,todas las compras que se pagan con restos reciben un descuento del 33%.#no afecta a las apuestas.,todas as compras que custam destroços têm uma redução de 33% no preço.#não tem efeito nos jogos de aposta.,все покупки за лом на 33% дешевле.#на азартные игры не влияет.,デブリで購入するすべてのアイテムが#33%安くなる。ギャンブルには効果なし。
6,,taking a hit with more than 2 bombs in stock will automatically use one up to negate it.,"wenn du mehr als 2 bomben hast, wird eine automatisch vor einem treffer aktiviert.","quand tu a plus de 2 bombes, une bombe annule automatiquement les dégats subis.","si recibes un impacto con más de 2 bombas en el inventario, una de ellas se usará automáticamente para cancelarlo.","ser for atingido quando você tiver mais de 2 bombas no estoque, uma bomba será consumida para anular o dano que seria causado.",при наличии 3+ бомб#одна автоматически#тратится чтобы#заблокировать попадание.,ボムを3つ以上持っている場合、#攻撃が当たる前にその1つが自動的に発動する。
7,,"increases your max hp by 33%, rounding down.#health parts are unaffected.#once a room, prevents double damage.","erhöht deine maximale gesundheit um 33%, aufgerundet.#einmal per raum, verhindert doppelschaden",augmente les pv max de 33 % en arrondissant à la baisse.#les fragments de pv ne sont pas affectés.#évite des dégâts doubles une fois par salle.,"aumenta un 33% los ps máx., redondeando a la baja.#no afecta a las porciones de ps.#evita el daño doble una vez por sala.","aumenta seu pv máximo em 33%, arredondando para baixo.#não afeta pedaços de pv.#evita dano duplo uma vez por sala.","макс. ОЗ +33%, округление вниз.#части ОЗ не учитываются. раз за#комнату блокирует двойной урон.",最大HPが33%増加（端数切り捨て）#HPパーツは影響を受けない。#部屋につき一度、2倍ダメージを防ぐ。
8,,creates a selection of four weapons with four keywords each.#the weapons are blessed.#rarely spawns unique weapons.,"gibt eine wahl von 4 waffen, mit je 4 schlüsselworten.#manchmal sind auch einzigartige waffen dabei.",crée une sélection de quatre armes avec quatre mots-clés chacune.#les armes sont bénies.#génère rarement des armes uniques.,crea una selección de 4 armas con 4 palabras clave cada una.#las armas estarán benditas.#pequeña probabilidad de crear armas únicas.,cria uma seleção de quatro armas com quatro palavras-chave cada.#as armas são abençoadas.#raramente gera armas únicas.,создаёт 4 оружия с 4 ключевыми#словами каждое. оружие благословлено.#редко появляется уникальное оружие.,それぞれ4つのキーワードを持つ4つの武器を#作成し、1つ選べる。#まれにユニーク武器が含まれる。
9,,dashing will teleport you a short distance forward.#lets you bypass single block walls.,beim tauchen wird man vorwärts teleportiet.#kann durch enge blöcke durchgehen.,la propulsion te téléporte d'une courte distance vers l'avant.#tu ne peux pas passer les obstacles solides.,"al impulsarte, te teletransportarás a corta distancia hacia adelante.#permite traspasar muros de un bloque.","quando acelerar, você será teletransportado para um ponto um pouco mais à frente.#não permite que você atravesse obstáculos sólidos.",рывок телепортирует вперёд на короткое расстояние.#позволяет проходить сквозь стены в один блок.,ダッシュが短距離テレポートになる。#ブロック1個分の壁をすり抜けられる。
