ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,piercing,bohrend,perforation,penetrante,perfuração,пробивание,貫通
1,,ricochet,ricochet,ricochet,rebote,ricochete,рикошет,跳弾
2,,split,streuschuss,division,división,fracionamento,разделение,スプリット
3,,homing,zielsuchend,guidage,guiada,teleguiado,самонаведение,ホーミング
4,,triple,dreifach,triple,triple,triplo,тройной,トリプル
5,,knockback,aufprall,recul,empuje,empurrão,отбрасывание,ノックバック
6,,giant,riesig,géant,gigante,gigante,гигантский,巨大
7,,reflective,reflektion,renvoi,reflectante,refletivo,отражение,リフレクト
8,,charges faster,schnelles laden,charge rapide,carga rápida,carregamento rápido,быстрый заряд,高速装填
9,,wider spray,weiter schusswinkel,large dispersion,dispersión,dispersão,широкий разброс,ワイドショット
10,,chain lightning,kettenblitz,chaîne d'éclairs,cadena de rayos,cadeia de raios,цепная молния,チェインライトニング
11,,shotgun style,explosives entladen,fusil à pompe,tipo escopeta,tipo espingarda,стиль дробовика,ショットガン
12,,finale,finale,achèvement,finalización,disparo final,финал,フィナーレ
13,,crossbeam,kreuzlaser,laser croisé,haz cruzado,raio cruzado,перекрёстный луч,クロスビーム
14,,twinshooter,doppelschuss,double tir,disparo doble,tiro duplo,двойной стрелок,ツインシューター
15,,pulsewaves,pulswellen,impulsion,ondas de pulso,ondas de pulso,пульсовые волны,パルスウェーブ
16,,overheat,aufgehitzt,surchauffe,sobrecalentamiento,superaquecimento,перегрев,オーバーヒート
17,,shrapnel,schrapnell,éclats,metralla,estilhaços,шрапнель,炸裂
18,,phasing,warp-schuss,distorsion,fase,trespasse,фазирование,ワープショット
19,,surge,uberladung,surtension,aluvión,surto,всплеск,サージ
20,,burst,salvo,rafale,ráfaga,explosão,очередь,バースト
21,,quick,geschickt,rapide,rápida,rapidez,быстрый,クイック
22,,gatling,deckfeuer,mitrailleuse,ametralladora,metralhadora,гатлинг,ガトリング
23,,ringshot,drehwurf,tir conjoint,tiro conjunto,tiro conjunto,кольцевой выстрел,リングショット
24,,instant recall,ruckruf,rappel,reobtención instantánea,retorno imediato,мгновенный возврат,即回収
25,,shielded,schild,protégé,protección,proteção,защищённый,シールド
26,,lance,lanze,lance,ristra,cordão,копьё,ランス
27,,chariot,palisade,chariot,cuadriga,muralha,колесница,チャリオット
28,,heavy,schwer,lourd,pesada,pesado,тяжёлый,ヘヴィ
29,,bloodlust,blutdurst,sanguinaire,sed de sangre,sede de sangue,жажда крови,血の渇き
30,,freeze,frost,gel,congelación,congelante,заморозка,凍結
31,,continuous,dauerhaft,continu,constante,contínuo,непрерывный,連続
32,,align,eingestimmt,alignement,alineación,alinhamento,слежение,追従
33,,consecrated,geweiht,consacrée,sagrada,consagrado,освящённый,聖別
34,,antimagic,antimagie,anti-magie,antimagia,antimagia,антимагия,反魔法
35,,akashic,akasha,akashique,akásica,akásico,акашик,アカシック
36,,disrupting,disruptiv,perturbatrice,alteradora,perturbadora,разрушающий,対機械
37,,backblast,druckwell,onde de poussée,explosión trasera,explosão traseira,обратная волна,バックブラスト
38,,infested,befall,infesté,infectada,infestado,заражённый,寄生
39,,swarming,schwärmen,essaim,enjambre,enxameação,роение,スウォーム
40,,drag,zug,attraction,atracción,atração,притяжение,引きずり
41,,instant hit,detonation,coup instantané,impacto instantáneo,acerto instantâneo,мгновенный хит,即時ヒット
42,,overcharge,detonation,surcharge,sobrecarga,sobrecarga,перезаряд,オーバーチャージ
43,,high-caliber,großer kaliber,gros calibre,alto calibre,calibre grosso,крупный калибр,大口径
44,,hitstreak,konzentration,tirs en série,concentración,sequência de tiros,серия попаданий,連続ヒット
45,,backshot,rückschuss,tir arrière,tiro trasero,tiro traseiro,выстрел назад,バックショット
46,,wall-breaker,wandbrecher,brise-murs,rompemuros,quebra-paredes,разрушитель стен,ウォールブレーカー
47,,all pierce,bohrend,perforation totale,penetración total,perfura-tudo,полное пробивание,全貫通
48,,holy,heilig,saint,halo,sagrado,святой,天恵
49,,hunter,jäger,chasseur,cazadora,caçador,охотник,ハンター
50,,ammo leak,ammo verlust,fuite de munitions,munición ineficiente,vazamento de munição,утечка боезапаса,弾薬漏れ
51,,ammo steal,ammo diebstahl,vol de munitions,robo de munición,roubo de munição,кража боезапаса,弾薬泥棒
52,,super galactic,supergalaktisch,super galactique,supergaláctica,supergaláctico,супергалактический,超銀河級
53,,heaven-piercing,himmel-durchdringend,divinité,penetración divina,perfuração divina,небопробивающий,天界突破
54,,all-blast,verwüstung,destruction,devastadora,devastação total,тотальный взрыв,全体爆発
55,,echo,echo,écho,eco,eco,эхо,エコー
56,,unstable,instabil,instable,inestable,instável,нестабильный,不安定
57,,sticky bombs,klebrig,bombes collantes,bomba adhesiva,bombas adesivas,липкие бомбы,粘着ボム
58,,remote trigger,auslöser,détonation à distance,detonación remota,detonação remota,дистанционный взрыв,リモートトリガー
59,,lunge,ausstoß,avancée brutale,estocada,investida,выпад,突進
60,,pin,stecker,immobilisation,inmovilización,fixação,пригвождение,固定
61,,enigmatic,enigmatisch,énigmatique,enigmática,enigmático,загадочный,神秘
62,,excavate,ausgrabung,excavation,excavadora,escavar,раскопка,発掘
63,,auto-hammer,autohammer,automarteau,automartillo,automartelo,автомолот,自動式
64,,curse of pain,schmerzfluch,sort de douleur,maldición dolorosa,maldição da dor,проклятие боли,苦痛の呪い
65,,curse of numbness,taubfluch,sort de torpeur,maldición mutiladora,maldição da dormência,проклятие онемения,痺れの呪い
66,,curse of fatigue,mattfluch,sort de fatigue,maldición fatigante,maldição do cansaço,проклятие усталости,疲労の呪い
67,,curse of stiffness,starrfluch,sort de raideur,maldición limitante,maldição da rigidez,проклятие скованности,硬直の呪い
68,,curse of haphephobia,haphefluch,sort d'haptophobie,maldición murofóbica,maldição da afefobia,проклятие гаптофобии,接触恐怖の呪い
69,,curse of paranoia,angstfluch,sort de paranoïa,maldición paranoica,maldição da paranoia,проклятие паранойи,恐怖の呪い
70,,curse of chaos,chaosfluch,sort de chaos,maldición caótica,maldição do caos,проклятие хаоса,混沌の呪い
71,,sharpshooter,scharfschütze,franc-tireur,francotiradora,franco-atirador,снайпер,スナイパー
72,,impale,spieß,empalement,empalamiento,espetada,насаживание,刺突
73,,sacred,gesegnet,sacré,divina,sagrada,священный,神聖
