ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,goes through the first enemy,durchbohrt den ersten feind,traverse le premier ennemi,atraviesa al primer enemigo,atravessa o primeiro inimigo,пробивает первого врага,最初の敵を貫通
1,,bounces off of walls,von wanden reflektiert,rebondit sur les murs,rebota conta los muros,ricocheteia nas paredes,рикошетит от стен,壁で跳ね返る
2,,splits on impact,zweiteilt sich beim treffer,se divise à l'impact,se divide con el impacto,divide no impacto,делится при попадании,着弾時に分裂
3,,homes onto enemies,sucht feinde auf,se dirige sur les ennemis,se dirige de forma automática#hacia los enemigos,persegue inimigos,наводится на врагов,敵を追尾する
4,,"fires in threes, but fires slower","feuert in dreiern, aber langsamer","tire par trois, mais moins vite","dispara tres balas, pero más despacio","dispara três balas de uma vez,#mas mais devagar","стреляет тройками, но медленнее",3ウェイになるが、連射速度が遅くなる
5,,pushes enemies back,stößt feinde zurück,repousse les ennemis,empuja a los enemigos,empurra os inimigos para trás,отталкивает врагов,敵を押し返す
6,,extra large,extra groß,super grand,extragrande,extragrande,очень большой,特大サイズ
7,,reflects bullets back,reflektiert feuer zurück,renvoie les projectiles,refleja las balas,reflete balas,отражает пули обратно,敵弾を跳ね返す
8,,can be fired quicker,geringere abklingzeit,peut s'utiliser plus vite,puede dispararse más rápido,pode disparar mais rápido,можно стрелять быстрее,連射速度が上昇
9,,greater spread and damage,"weniger akkurat, starker",dispersion et dégâts augmentés,más dispersión y daño,maior propagação e dano,больше разброс и урон,攻撃範囲とダメージが上昇
10,,arcs between enemies,durch feinde geleitet,crée un arc entre les ennemis,crea arcos entre los enemigos,arqueia entre inimigos,дуга между врагами,敵の間に電流が流れる
11,,shoots in bursts,viele schüsse auf ein mal,tire en rafales,dispara ráfagas,dispara em rajadas,стреляет очередями,バースト射撃
12,,last shot is extra powerful,machtiger endschuss,le dernier coup est super puissant,último disparo más potente,o último tiro é extrapoderoso,последний выстрел особо мощный,最終ショットの威力が上がる
13,,radiates side lasers,feuert seitenlaser,émet des lasers latéraux,emite láseres laterales,irradia lasers laterais,испускает боковые лазеры,十字型にレーザーが分かれる
14,,fires in twos,feuert in zweiern,tire en double,disparo doble,dispara duas balas,стреляет парами,発射数が2倍
15,,radiates bullets,feuert projektile,émet des balles,emite balas,irradia balas,испускает пули по бокам,側面に弾丸を発射
16,,area of effect damage over time,flächenschaden über zeit,dégâts de zone sur la durée,daño prolongado con área de efecto,dano de área de efeito#ao longo do tempo,урон по площади со временем,効果範囲に時間経過ダメージ
17,,explodes into bullets,explodiert in schüsse,explose en projectiles,dispara balas al explotar,explode em balas,взрывается пулями,爆発から弾丸が出現する
18,,"wraps through boundaries, reduced ammo",stößt alle grenzen durch,"téléporte à travers#les obstacles, munitions réduites",las balas reaparecen por el otro lado#munición reducida,"ultrapassa limites, munição reduzida","проходит сквозь границы, меньше боезапаса",地形を貫通し、弾薬が減少する
19,,arcs to enemies when fully charged,schockt feinde wenn voll aufgeladen,crée un arc entre#les ennemis avec munitions pleines,crea arcos entre#los enemigos si está cargada,arqueia para os inimigos#quando totalmente carregada,дуга к врагам при полном заряде,満タンまで溜めると敵に放電する
20,,fires in short bursts,feuert jeweils ein salvo,tirs en petites rafales,dispara ráfagas cortas,dispara em rajadas curtas,стреляет короткими очередями,短いバースト射撃
21,,increased attack speed,erhöhte angriffsgeschwindigkeit,vitesse d'attaque augmentée,velocidad de ataque aumentada,aumento da velocidade de ataque,повышенная скорость атаки,攻撃速度が上がる
22,,"weaker, but fires rapidly","schwächer, aber feuert schneller","plus faible, mais plus rapide","más débil, pero dispara más rápido","mais fraco, mas dispara rapidamente","слабее, но стреляет быстро",威力は下がるが、攻撃速度が上がる
23,,fires all razors at once,feuert alle klingen gleichzeitig,tire tous les rasoirs d'un coup,dispara todas las cuchillas a la vez,dispara todas as navalhas de uma vez,выпускает все бритвы сразу,すべてのサイクロンを同時に発射
24,,blades recall immediately on impact,bei treffern sofort zurück,les lames reviennent à l'impact,las cuchillas regresan al impactar,as lâminas retornam#imediatamente após o impacto,клинки возвращаются сразу при попадании,着弾時、即座に刃を呼び寄せる
25,,block bullets when idle,klingen dienen als deckung,bloque les balles pendant l'inactivité,bloquea las balas en parado,bloqueia balas quando estiver parado,блокирует пули в покое,使用していない時、敵弾をブロック
26,,forms a line in front of you,formiert eine linie,forme une ligne devant toi,forma una hilera frente a ti,forma uma linha de proteção#na sua frente,выстраивается линией перед тобой,刃を前方直線方向に構える
27,,forms a facade in front of you,formiert sich um deine flanken,forme une façade devant toi,forma un muro frente a ti,forma um cordão de proteção#na sua frente,выстраивается фасадом перед тобой,刃を正面に構える
28,,"powerful, but slows you down","langsam, aber stark","puissant, mais te ralentit","potente, pero te ralentiza","poderoso, mas diminui#a velocidade de movimento","мощный, но замедляет тебя",高威力だが、移動が遅くなる
29,,charged by killing enemies quickly,durch zerstörung von feinden geladen,charge en tuant rapidement des ennemis,se carga al eliminar enemigos rápido,carrega ao matar#inimigos rapidamente,заряжается убийством врагов подряд,敵を連続で倒していくと強化される
30,,slows enemies on hit,friert feinde ein,ralentit les ennemis à l'impact,el impacto ralentiza a los enemigos,desacelera os inimigos ao acertar,замедляет врагов при попадании,命中させた敵の動きを鈍くする
