ID,Comments,EN,DE,FR,ES,PTBR,ZHS,JA
0,,basic,basis,basique,básica,básica,базовое,基本武器
1,,vulcan,vulkan,vulcain,vulcan,vulcão,вулкан,バルカン
2,,fireball,feuerball,boule de feu,orbe ígneo,bola de fogo,огненный шар,ファイアボール
3,,laser,laser,laser,láser,laser,лазер,レーザー
4,,sword,schwert,épée,espada,espada,меч,ソード
5,,charge,kanone,charge,carga,carga,заряд,チャージ
6,,revolver,revolver,revolver,revólver,revólver,револьвер,リボルバー
7,,razor,klinge,rasoir,cuchilla,navalha,бритва,サイクロン
8,,pulsar,pulsar,pulsar,púlsar,pulsar,пульсар,パルサー
9,,thunderhead,kugelblitz,nuage d'orage,nube rayo,nuvem de trovoadas,громовая туча,サンダーヘッド
10,,railgun,railgun,railgun,cañón riel,canhão de raios,рельсотрон,レールガン
11,,drill,bohrer,foreuse,taladro,broca,бур,ドリル
12,,spear,speer,lance,lanza,lança,копьё,スピア
13,,runic,runen,runique,rúnica,rúnica,руническое,ルーン
14,,bow,bogen,arc,arco,arco,лук,ボウ
15,,grenade,granate,grenade,granada,granada,граната,グレネード
100,,skully,skully,skully,skully,skully,скалли,スカリー
